resource_name,assignment_ids
Resource 0,77;197;27;206;61;88;232;233;265;147;104;0;124;49;176;277;171
Resource 1,261;122;145;100;134;110;50;189;91;199;242;32;240;238;108;167;66
Resource 2,81;215;38;234;246;130;82;12;276;120;209;39;43;153;178;192;219
Resource 3,41;248;42;34;23;141;227;173;28;243;239;3;270;146;5;112;267
Resource 4,156;138;245;195;21;118;75;251;249;274;169;283;129;65;204;71;125
Resource 5,106;170;139;73;44;281;48;259;268;52;200;237;284;210;84;247;40
Resource 6,140;185;18;93;198;135;184;279;181;9;35;271;163;78;175;45;226
Resource 7,117;174;80;86;89;207;151;83;180;222;36;90;123;69;136;157;230
Resource 8,211;168;213;107;13;266;119;1;4;94;67;14;212;25;165;241;193
Resource 9,201;20;70;37;105;58;164;179;64;63;280;208;102;187;101;96;252
Resource 10,98;236;55;225;166;60;103;275;216;152;278;217;114;10;214;183;131
Resource 11,244;72;272;59;111;150;269;116;22;26;221;149;260;188;85;51;256
Resource 12,15;190;202;218;47;263;68;133;142;258;223;159;16;54;132;205;109
Resource 13,99;203;56;19;79;235;194;177;2;6;95;253;224;76;8;161
Resource 14,127;264;46;115;143;282;196;229;231;162;144;262;128;53;62;186
Resource 15,257;57;24;154;113;7;228;172;155;137;30;17;255;158;182;121
Resource 16,160;31;29;254;126;220;74;33;250;11;87;92;97;148;273;191
