resource_name,assignment_ids
Resource 0,244;135;71;48;166;263;183;108;143;365;119;196;126;120;46;173;158;344;75;199;297;54;273;124;92;87;140
Resource 1,43;132;165;253;106;300;289;277;73;354;50;150;84;215;95;151;56;161;20;94;45;364;30;334;31;19;141
Resource 2,25;348;361;283;136;24;228;15;90;267;168;211;234;200;269;389;201;221;227;194;17;6;356;223;159;224
Resource 3,66;317;125;188;28;305;231;388;146;288;257;375;8;62;145;86;390;241;377;328;65;186;268;303;184;180
Resource 4,254;321;178;60;61;44;170;339;97;345;192;88;286;324;330;275;261;384;70;342;248;332;21;83;316;304
Resource 5,175;239;271;353;315;338;59;276;181;312;35;47;251;208;105;100;55;341;363;306;111;349;68;142;313;191
Resource 6,308;206;149;78;260;18;302;259;212;243;147;346;274;220;16;58;167;319;222;169;160;138;80;329;214;2
Resource 7,209;323;182;287;79;242;270;387;98;299;176;42;38;252;310;189;197;99;362;358;114;360;236;96;190;29
Resource 8,116;202;217;52;1;380;293;203;85;104;256;285;41;12;193;383;237;352;63;162;266;359;9;250;279;72
Resource 9,278;309;81;103;272;340;57;127;322;357;238;246;112;4;121;115;327;230;233;64;265;367;232;102;137;371
Resource 10,381;133;156;225;374;318;123;76;240;301;229;235;311;347;33;117;335;118;195;93;294;91;27;280;77;171
Resource 11,307;281;366;373;69;255;187;153;67;10;128;262;130;198;155;131;37;172;386;74;290;154;51;320;249;378
Resource 12,40;122;391;26;32;101;370;325;82;204;368;113;264;39;343;291;213;336;372;185;34;210;164;296;258;382
Resource 13,89;333;157;282;298;216;355;326;23;226;295;13;314;14;369;163;205;129;5;139;49;219;337;174;53;385
Resource 14,134;245;218;331;179;110;177;22;152;36;247;376;7;284;109;11;3;351;292;350;0;379;207;144;148;107
