resource_name,assignment_ids
Resource 0,135;102;65;16;92;87;63;26;81
Resource 1,136;37;39;115;62;95;9;73;110
Resource 2,38;5;28;109;8;48;72;79;59
Resource 3,29;89;119;70;100;118;32;43
Resource 4,86;77;82;20;93;61;69;23
Resource 5,24;104;1;6;41;11;80;120
Resource 6,2;19;50;42;31;133;126;30
Resource 7,124;66;138;45;94;49;84;0
Resource 8,4;107;25;34;134;53;114;46
Resource 9,58;112;64;91;10;22;117;60
Resource 10,113;125;55;130;137;33;12;127
Resource 11,74;54;85;3;68;106;83;75
Resource 12,67;7;71;15;96;88;99;90
Resource 13,21;40;131;123;17;51;129;44
Resource 14,98;108;128;35;116;76;13;27
Resource 15,103;121;36;111;105;132;18;97
Resource 16,47;56;101;14;78;57;52;122
