resource_name,assignment_ids
Resource 0,260;60;97;262;263;103;81;283;8;258;128;39;145;49;133;191;161;87;146;280;119;142;170;72;310;201;116;95;141
Resource 1,112;14;184;172;86;110;261;20;294;55;273;104;206;200;67;12;229;152;182;167;250;135;66;69;180;10;1;233;216
Resource 2,25;42;242;194;254;27;291;285;234;130;77;154;107;102;228;38;264;21;159;76;249;84;309;218;151;293;34;73;3
Resource 3,65;231;16;207;190;74;23;138;114;124;96;186;268;171;88;89;63;132;245;0;162;137;123;35;153;64;266;79;188
Resource 4,219;164;94;276;255;197;202;243;92;195;17;300;209;41;158;131;210;45;178;90;196;230;185;169;62;144;108;265;22
Resource 5,256;50;40;155;212;18;253;215;111;136;32;36;181;11;33;298;284;149;140;54;247;71;37;214;299;275;100;296;56
Resource 6,290;189;120;30;238;115;193;160;313;51;305;134;4;187;306;272;101;311;46;203;2;53;204;113;117;269;139;105
Resource 7,211;43;75;237;59;241;122;19;98;127;166;31;82;93;83;173;163;312;274;52;198;282;286;125;307;9;6;58
Resource 8,252;156;183;28;168;223;297;174;227;279;267;308;205;78;217;239;26;157;165;177;213;292;70;192;303;179;259;246
Resource 9,61;287;47;270;85;7;244;295;251;48;226;129;278;15;288;224;24;175;301;289;236;121;304;281;302;220;199;222
Resource 10,99;109;143;5;29;126;257;91;106;13;208;248;232;176;118;148;57;277;271;225;240;235;44;147;80;221;68;150
