resource_name,assignment_ids
Resource 0,36;75;49;222;211;66;5;108;226;171;202;218
Resource 1,118;67;15;32;28;225;140;73;135;63;154;89
Resource 2,62;71;126;85;149;172;18;83;166;195;84;204
Resource 3,142;96;14;34;13;192;107;26;221;129;21;183
Resource 4,176;70;124;117;208;139;182;78;136;110;54;98
Resource 5,173;69;193;22;132;125;223;147;206;163;180;179
Resource 6,114;167;169;123;51;198;109;64;59;191;122;185
Resource 7,121;102;152;47;39;157;3;127;4;137;1;91
Resource 8,159;90;209;187;184;197;8;38;10;168;120;216
Resource 9,93;37;6;214;181;100;113;130;9;105;77;68
Resource 10,86;175;188;189;217;17;219;111;212;119;82;87
Resource 11,81;42;33;201;161;41;94;186;99;177;196;199
Resource 12,200;40;52;133;79;194;215;153;2;45;101;57
Resource 13,46;74;155;7;162;53;151;158;165;11;141;170
Resource 14,23;72;128;134;190;103;210;12;160;30;60;25
Resource 15,65;76;203;146;16;220;44;106;174;0;145;80
Resource 16,97;156;92;55;29;88;43;164;56;144;50;178
Resource 17,207;61;112;104;58;27;35;95;31;116;131;148
Resource 18,150;115;19;213;205;138;143;48;224;20;24
