predecessor_id,successor_id,type
27,65,3
13,56,1
13,98,1
0,56,1
1,3,1
1,26,1
1,39,3
2,19,1
2,75,1
54,68,1
61,69,1
3,4,1
41,82,1
4,90,0
4,28,1
4,45,1
36,67,1
81,85,1
81,82,1
5,84,1
5,6,1
21,22,3
30,31,1
15,70,1
45,47,3
45,86,1
45,46,1
7,71,1
7,95,1
7,52,0
31,80,0
31,48,1
90,94,3
90,91,1
62,64,1
62,68,1
62,71,1
92,93,1
75,76,1
75,77,0
77,78,1
93,96,3
94,95,1
8,26,1
9,28,3
65,67,1
10,99,0
10,40,3
10,66,1
11,52,3
22,42,1
22,43,0
22,96,1
80,84,1
80,83,1
80,81,1
12,13,1
83,87,1
14,15,1
53,55,1
53,54,1
16,94,3
16,82,3
17,26,1
18,45,1
46,52,1
55,56,1
55,67,1
64,66,1
64,65,3
85,88,1
85,86,1
20,21,1
23,55,3
24,43,1
25,59,1
44,45,0
26,27,1
26,92,3
38,43,1
28,29,3
28,30,1
32,33,1
34,84,1
35,36,1
50,51,1
37,38,1
39,65,1
40,41,0
43,44,1
43,91,0
48,56,1
48,91,1
49,50,1
69,70,1
52,53,1
56,73,1
57,74,1
58,59,1
60,61,1
60,62,1
60,63,3
72,73,3
74,75,1
79,80,1
89,90,1
89,97,1
89,92,1
97,99,1
97,98,1
