resource_name,assignment_ids
Resource 0,192;88;194;105;130;93;10;198;172;224;169;136
Resource 1,31;29;8;41;65;166;50;21;222;72;18;221
Resource 2,43;89;177;28;48;226;76;80;36;23;62;14
Resource 3,135;179;158;19;182;38;30;137;187;191;211;205
Resource 4,139;82;85;42;53;195;163;33;223;78;190;109
Resource 5,37;114;196;17;152;154;189;149;86;199;45;200
Resource 6,143;59;151;91;115;204;202;9;12;97;127;27
Resource 7,4;183;51;56;24;119;185;148;122;210;124;26
Resource 8,20;215;214;126;184;208;75;108;181;66;102;2
Resource 9,96;216;219;164;73;49;197;98;173;117;134;138
Resource 10,147;153;107;111;81;118;218;101;39;112;5;34
Resource 11,110;206;128;68;167;142;212;61;201;92;46;203
Resource 12,225;209;60;64;171;121;175;162;207;79;44;178
Resource 13,188;161;95;99;25;227;156;129;74;217;168;52
Resource 14,113;40;213;176;7;84;180;125;104;22;220;54
Resource 15,140;157;186;103;123;63;83;6;67;155;160;0
Resource 16,150;87;100;159;174;55;144;145;32;132;69;90
Resource 17,120;165;47;131;71;141;116;193;3;106;77;70
Resource 18,35;16;58;94;11;1;13;146;133;15;170;57
