resource_name,assignment_ids
Resource 0,28;15;121;333;294;47;102;118;335;222;275;111;206;264;207;20;331;231;29;203;293;5;123;235;282;182;96;308;91;225;301;89
Resource 1,131;325;221;73;139;9;69;240;311;120;303;80;202;54;258;334;158;129;112;265;16;132;32;18;185;299;318;193;30;209;145
Resource 2,125;174;140;67;178;163;31;64;57;263;157;274;238;307;81;78;7;176;172;197;171;321;149;269;339;162;338;257;74;59;152
Resource 3,290;286;83;23;160;245;109;45;306;133;99;63;296;300;246;51;88;319;98;205;90;229;284;252;33;134;55;281;254;201;141
Resource 4,97;60;297;215;37;183;224;228;70;122;77;214;168;38;196;41;138;110;310;337;142;130;227;117;170;190;150;25;93;287;279
Resource 5,218;114;200;72;56;17;42;156;127;26;309;194;35;62;305;191;211;332;223;261;283;146;241;58;243;13;177;326;103;4;212
Resource 6,234;226;192;320;101;262;341;148;219;249;85;106;302;49;289;340;144;292;198;39;71;278;105;328;27;248;315;34;92;11;277
Resource 7,199;40;48;46;159;113;322;181;167;65;6;179;324;266;119;173;242;230;12;232;255;136;50;217;186;68;285;86;295;76;271
Resource 8,1;260;184;280;239;313;128;233;104;276;220;327;79;166;317;147;236;312;87;135;137;143;24;82;164;84;244;21;155;8;210
Resource 9,237;250;75;36;165;151;175;10;204;66;61;94;53;268;273;187;154;19;126;22;270;251;2;216;153;291;180;188;272;323;108
Resource 10,247;0;304;95;124;44;208;100;189;329;267;169;256;107;195;213;259;298;52;43;314;253;116;14;288;316;161;115;336;330;3
