resource_name,assignment_ids
Resource 0,373;172;247;50;146;314;92;121;120;257;80;399;379;292;70;307;341;328;229;186;241;85
Resource 1,336;187;36;41;127;198;363;217;45;325;272;158;192;125;297;122;238;209;106;263;179;168
Resource 2,32;66;33;356;342;117;284;182;246;382;74;311;298;18;212;111;99;337;271;293;183
Resource 3,359;84;278;199;301;31;222;343;193;321;34;355;140;207;286;118;55;224;282;100;262
Resource 4,218;67;129;353;239;151;133;253;22;290;231;180;384;394;178;280;163;134;250;7;60
Resource 5,78;103;131;244;135;299;130;214;266;372;40;285;24;287;202;79;375;256;143;251;302
Resource 6,204;361;25;308;137;37;141;335;259;347;57;303;386;30;371;329;318;381;275;174;119
Resource 7,39;59;75;291;393;249;176;390;76;339;35;369;313;148;226;397;322;87;195;26;260
Resource 8,268;191;316;387;96;97;114;289;89;93;200;331;351;388;8;12;145;19;357;164;147
Resource 9,352;254;20;267;155;105;3;236;261;362;315;0;240;332;368;124;112;264;139;232;181
Resource 10,396;49;377;62;95;295;346;169;194;38;102;9;225;367;211;333;4;91;189;68;107
Resource 11,162;171;188;47;220;115;323;364;197;350;58;319;104;383;159;205;360;252;242;152;23
Resource 12,310;175;334;154;2;190;83;27;248;265;173;213;235;358;324;294;227;177;223;376;71
Resource 13,309;389;113;320;132;90;276;94;374;277;274;5;219;42;123;203;344;116;6;61;101
Resource 14,52;13;48;348;156;165;81;208;46;128;185;345;255;273;144;21;161;72;258;69;29
Resource 15,63;44;167;296;98;10;270;11;269;312;338;201;398;279;283;110;245;304;86;230;73
Resource 16,288;206;281;108;221;138;354;160;306;365;233;153;305;385;215;15;392;43;391;380;228
Resource 17,216;166;14;210;56;317;136;349;340;243;300;196;237;53;64;51;395;400;327;126;170
Resource 18,326;149;378;88;370;65;17;77;54;28;150;142;16;82;109;234;366;1;330;184;157
