resource_name,assignment_ids
Resource 0,42;134;66;143;122;127;69;123;17
Resource 1,72;99;4;107;137;141;135;82;27
Resource 2,44;48;129;64;81;136;98;63;87
Resource 3,86;114;58;7;131;152;89;79;55
Resource 4,2;68;110;47;38;85;19;14;13
Resource 5,113;3;43;12;61;28;102;73;16
Resource 6,117;112;9;1;59;95;75;32;91
Resource 7,29;96;121;126;24;62;146;115;70
Resource 8,26;119;77;25;125;60;109;138;45
Resource 9,142;111;90;18;104;8;120;74;30
Resource 10,34;23;31;130;80;0;39;84;20
Resource 11,5;118;151;15;65;148;22;46;52
Resource 12,149;145;67;88;50;49;11;33;76
Resource 13,51;94;40;133;106;101;37;108;92
Resource 14,97;53;103;147;56;36;54;132;93
Resource 15,124;6;144;128;105;100;140;83;150
Resource 16,35;41;116;139;57;10;71;78;21
