resource_name,assignment_ids
Resource 0,7;57;87;48;18;10;69;77;55
Resource 1,40;5;1;15;34;105;86;2;97
Resource 2,28;53;84;37;4;94;45;46;123
Resource 3,67;25;100;79;122;114;85;38;9
Resource 4,50;124;129;106;116;132;6;62;36
Resource 5,91;51;98;20;82;127;118;32
Resource 6,56;19;104;113;66;95;109;41
Resource 7,131;128;0;65;61;47;43;74
Resource 8,81;33;59;93;99;71;80;58
Resource 9,107;21;35;8;76;23;88;117
Resource 10,125;126;42;103;78;101;70;31
Resource 11,27;22;121;17;13;110;90;60
Resource 12,102;68;30;52;26;112;111;24
Resource 13,39;108;75;64;115;44;130;119
Resource 14,3;49;54;120;29;16;83;63
Resource 15,73;12;14;96;72;92;11;89
