resource_name,assignment_ids
Resource 0,49;16;234;25;181;238;144;240;93;21;288;406;57;305;192;151;241;355;397;357;175;184;128;168;368;78
Resource 1,376;314;380;254;46;5;98;74;255;296;215;419;256;80;353;409;333;245;71;279;211;295;325;179;100
Resource 2,104;79;297;292;164;407;182;221;388;366;398;262;375;251;167;141;11;370;312;289;236;149;94;199;329
Resource 3,203;224;127;274;210;31;222;180;101;122;118;170;90;195;303;264;171;276;139;45;37;336;136;285;330
Resource 4,383;160;369;416;109;33;306;114;157;97;75;278;411;1;299;117;87;159;389;3;229;247;173;422;35
Resource 5,404;302;319;47;6;339;162;359;282;204;146;51;189;362;227;41;145;394;53;361;387;246;408;358;402
Resource 6,99;96;418;425;316;129;198;347;137;304;253;58;134;176;281;243;135;393;342;34;400;108;309;226;343
Resource 7,349;270;190;233;249;230;248;185;365;20;67;212;116;315;290;250;205;350;268;40;239;201;115;30;331
Resource 8,84;29;83;150;42;242;307;321;70;275;138;76;214;344;39;273;373;364;156;261;7;293;18;379;36
Resource 9,178;103;77;294;377;345;56;17;327;73;235;131;228;82;50;188;124;55;237;258;26;110;413;385;216
Resource 10,0;332;403;68;147;423;61;166;91;88;2;155;283;143;318;351;322;197;310;102;64;85;272;337;395
Resource 11,169;59;43;223;317;348;206;396;244;417;266;220;382;23;252;32;15;187;340;287;414;267;415;165;412
Resource 12,360;163;121;38;390;363;260;65;271;323;392;277;291;378;86;334;106;48;326;81;148;284;133;374;54
Resource 13,4;352;405;308;410;372;63;158;142;354;132;107;367;105;231;152;286;24;52;207;269;301;420;217;381
Resource 14,191;60;298;265;219;341;424;202;209;66;111;13;384;335;92;119;12;9;356;153;311;421;130;208;328
Resource 15,140;27;161;19;232;113;263;123;259;194;28;313;338;154;14;126;280;257;386;196;112;177;401;44;8
Resource 16,69;95;186;213;346;324;218;62;399;72;371;183;320;10;225;193;89;22;174;200;300;125;120;172;391
