resource_name,assignment_ids
Resource 0,383;10;234;96;250;261;99;263;395;187;175;173;213;231;211;388;295;209;426;202;171;113;355;42;81;18
Resource 1,254;420;452;115;461;200;297;25;224;201;208;409;52;57;223;78;80;301;352;290;212;126;23;37;71;59
Resource 2,307;4;411;235;63;154;386;123;415;414;155;332;403;428;176;28;14;168;382;291;422;177;75;368;346;348
Resource 3,249;182;13;339;133;117;363;16;397;416;449;183;64;413;39;197;286;131;424;436;356;82;105;218;170;157
Resource 4,412;443;221;215;95;325;372;146;337;50;214;106;347;153;323;360;163;164;121;434;195;156;83;172;430;68
Resource 5,11;309;376;265;387;427;0;38;149;247;103;229;90;94;161;111;344;136;410;423;120;442;186;93;405;391
Resource 6,342;298;127;119;203;101;26;40;458;257;357;216;244;303;148;248;370;312;87;318;445;314;279;407;141;454
Resource 7,432;193;139;268;199;367;324;33;270;143;296;433;125;404;5;392;190;437;206;228;285;84;267;225;134;300
Resource 8,384;51;451;394;36;277;345;418;128;112;192;251;169;178;299;21;91;381;440;54;44;56;92;233;446;464
Resource 9,109;358;22;210;122;66;245;204;41;330;242;304;269;152;447;27;158;308;260;137;159;243;379;65;77;174
Resource 10,114;217;124;241;60;226;116;273;281;142;280;29;107;429;457;227;377;19;354;43;294;431;435;132;438;459
Resource 11,292;259;1;130;328;320;34;335;340;118;49;236;31;97;310;401;166;390;191;393;73;86;180;70;419;232
Resource 12,305;196;47;238;350;287;331;220;389;140;366;276;364;256;246;85;8;375;162;282;145;289;406;408;448;455
Resource 13,89;189;327;167;46;425;351;6;222;165;20;230;104;288;326;463;2;185;240;319;207;72;252;306;284;88
Resource 14,45;194;151;108;359;264;258;9;110;311;100;74;24;15;219;160;58;48;338;462;417;456;184;380;55;198
Resource 15,179;334;69;278;316;336;181;450;274;453;444;62;129;237;362;35;272;3;399;353;239;369;396;98;421
Resource 16,341;32;12;283;343;302;147;317;255;371;266;385;293;7;378;53;135;402;17;138;333;398;313;441;460
Resource 17,144;373;30;205;439;321;361;76;262;188;102;349;253;79;150;329;275;315;67;365;271;61;374;322;400
