resource_name,assignment_ids
Resource 0,206;1;121;101;28;184;106;181;56;194;46;58;168;6;91;162;204
Resource 1,180;48;152;186;49;159;163;41;61;89;208;118;185;178;125;45
Resource 2,147;30;33;202;64;116;138;120;177;112;5;126;171;201;192;103
Resource 3,149;173;134;88;140;170;83;11;35;70;75;161;95;128;145;60
Resource 4,34;93;97;146;16;150;8;130;47;191;189;179;43;82;107;92
Resource 5,142;196;69;44;54;26;198;78;154;68;98;195;203;124;164;73
Resource 6,113;25;169;50;111;207;86;117;55;127;115;76;59;74;137;85
Resource 7,105;133;7;36;176;151;197;67;119;12;183;40;2;187;0;123
Resource 8,188;90;29;79;31;160;15;144;52;148;63;199;71;42;10;24
Resource 9,27;72;131;32;175;14;104;182;165;51;129;158;200;65;190;17
Resource 10,21;62;94;156;166;57;20;9;99;87;157;80;18;135;141;19
Resource 11,102;122;13;205;3;109;155;174;143;193;39;110;153;108;53;77
Resource 12,132;81;172;96;100;23;136;38;4;139;84;66;114;22;37;167
