resource_name,assignment_ids
Resource 0,49;210;292;199;64;16;479;446;229;346;281;340;82;417;424;253;18;249;325;213;186;89;109;175;407;274
Resource 1,14;452;132;261;131;258;126;486;472;32;90;279;130;21;280;418;244;440;239;410;200;37;319;194;405;290
Resource 2,114;251;24;298;255;336;404;34;482;464;225;133;100;36;333;48;54;149;409;368;451;121;80;434;328;423
Resource 3,6;160;218;247;246;227;360;103;25;88;173;164;107;125;339;387;108;305;193;260;56;323;375;313;157;215
Resource 4,60;367;427;317;369;174;304;257;58;63;112;408;463;122;438;95;352;357;425;169;152;324;462;31;411;395
Resource 5,373;135;47;422;198;431;487;406;170;473;240;382;81;252;389;439;297;42;269;412;38;128;138;72;141;415
Resource 6,178;483;341;223;207;403;44;388;1;163;50;140;28;53;165;116;468;219;4;228;196;285;457;134;161;150
Resource 7,113;414;443;144;419;171;158;265;188;166;98;442;461;338;308;59;92;120;10;449;282;470;484;201;334;393
Resource 8,117;124;236;278;39;377;454;383;57;85;71;355;331;20;295;237;172;212;13;390;337;489;283;55;104;27
Resource 9,318;316;41;271;0;74;372;380;272;379;370;349;307;363;182;203;480;101;185;231;384;243;385;392;79;119
Resource 10,327;275;270;214;345;300;273;437;263;314;453;110;143;436;12;475;43;66;471;293;326;7;206;448;221;332
Resource 11,184;371;216;488;321;347;159;234;190;93;266;35;397;358;359;474;5;374;378;129;9;301;441;458;398;416
Resource 12,147;455;192;311;233;15;217;310;356;465;46;68;430;2;204;381;75;459;401;315;168;30;485;127;306;145
Resource 13,78;97;105;191;87;238;256;111;288;3;65;476;139;348;156;354;102;303;220;96;259;167;155;84;224;444
Resource 14,62;344;284;118;287;396;242;330;136;99;52;153;77;181;399;299;350;481;329;469;69;250;248;245;197;302
Resource 15,433;309;8;154;148;478;202;195;296;29;394;432;277;365;351;226;426;322;187;386;342;123;420;466;291
Resource 16,177;180;447;276;142;33;61;230;83;151;232;456;189;413;208;11;477;343;76;211;268;254;286;23;294
Resource 17,209;17;40;176;402;146;262;70;179;435;22;376;26;421;183;19;137;289;51;361;391;222;450;362;115
Resource 18,91;353;320;94;86;467;267;106;73;45;460;264;335;366;400;364;241;445;429;162;235;67;312;428;205
