resource_name,assignment_ids
Resource 0,98;58;29;45;103;24;74;71;90;101
Resource 1,42;36;81;10;7;89;84;77;116;85
Resource 2,13;97;66;9;96;56;119;37;125;22
Resource 3,65;20;3;11;44;57;4;16;1;50
Resource 4,41;86;82;102;28;26;33;32;8;124
Resource 5,78;12;54;14;62;72;80;38;39;121
Resource 6,55;18;104;17;92;94;15;79;100;87
Resource 7,88;63;21;27;83;52;76;69;61;0
Resource 8,91;31;64;75;43;46;48;47;34;19
Resource 9,111;70;99;51;107;59;108;122;73
Resource 10,115;2;40;117;67;6;35;23;106
Resource 11,53;112;68;49;123;25;93;120;114
Resource 12,30;105;110;113;95;5;60;118;109
