resource_name,assignment_ids
Resource 0,75;144;132;10;80;84;99;36;213;188;200;103;171;71;112;85;127;159
Resource 1,126;11;3;73;206;176;12;164;153;90;221;33;113;174;149;39;83;62
Resource 2,101;30;6;142;196;165;163;183;212;166;86;81;54;154;216;195;133
Resource 3,117;34;44;207;47;177;87;108;4;50;91;199;106;158;45;175;123
Resource 4,152;105;43;96;9;186;16;170;97;147;35;150;110;184;215;194;57
Resource 5,59;189;136;173;93;192;201;208;58;70;134;118;122;128;131;148;214
Resource 6,160;82;115;204;15;157;114;27;31;89;77;180;219;100;156;46;135
Resource 7,61;1;222;13;17;64;29;53;220;185;72;65;66;94;14;26;48
Resource 8,197;78;25;172;167;119;40;146;121;56;20;193;92;24;52;191;55
Resource 9,7;88;141;116;68;178;218;74;107;51;139;76;23;2;5;179;41
Resource 10,205;120;63;95;190;0;187;210;140;202;181;49;125;217;203;137;60
Resource 11,168;21;161;67;37;182;18;130;198;124;162;22;209;155;151;69;79
Resource 12,42;211;129;28;32;98;169;102;19;138;111;143;104;38;109;145;8
