resource_name,assignment_ids
Resource 0,131;154;101;81;285;364;202;260;173;351;106;20;246;134;151;205;36;327;63;263;29;217;86;60;189;289;234;281;237;30;159;355;70;8;325;24;321
Resource 1,259;62;195;138;119;236;278;194;254;277;160;335;92;229;66;329;43;133;247;200;26;305;269;85;323;306;11;334;342;59;186;18;149;105;17;107;291
Resource 2,297;244;203;139;294;348;187;155;282;249;262;44;88;311;183;356;97;207;193;201;353;252;304;150;108;91;98;332;309;56;71;290;190;120;89;51;296
Resource 3,124;213;137;117;228;67;69;180;12;118;191;74;96;169;3;314;48;111;227;300;136;40;240;340;274;10;261;19;331;146;28;339;301;363;211;9;362
Resource 4,46;163;302;128;37;328;126;4;94;358;216;223;95;148;320;61;170;242;284;253;276;165;198;235;99;167;166;343;345;42;214;349;27;280;188;83;275
Resource 5,199;271;114;233;212;292;322;162;135;316;181;215;147;103;49;75;168;104;308;258;337;15;122;152;73;354;22;279;172;102;93;79;303;176;357;175
Resource 6,219;161;361;338;54;232;255;250;171;31;164;286;270;153;293;288;50;272;13;360;196;315;326;209;324;129;225;39;6;264;231;287;58;185;16;112
Resource 7,313;208;7;38;206;115;265;257;220;145;182;192;256;23;109;243;82;34;2;245;359;45;307;336;5;141;35;299;132;174;52;32;21;239;230;76
Resource 8,64;352;350;130;156;318;41;273;68;123;319;0;143;330;90;110;178;266;221;317;77;333;268;142;57;248;197;179;295;84;344;157;210;140;177;100
Resource 9,78;113;33;312;53;241;80;224;347;283;72;310;184;251;298;116;226;204;222;267;65;47;346;238;127;125;87;14;144;158;341;218;121;25;1;55
