id,hours,start,duration
0,216,0,21
1,51,0,5
2,197,0,19
3,385,0,38
4,52,0,5
5,206,0,20
6,66,0,6
7,130,0,13
8,69,0,6
9,130,0,13
10,599,0,59
11,50,0,5
12,50,0,5
13,145,0,14
14,105,0,10
15,171,0,17
16,50,0,5
17,52,0,5
18,52,0,5
19,680,0,68
20,123,0,12
21,92,0,9
22,557,0,55
23,277,0,27
24,123,0,12
25,68,0,6
26,147,6,14
27,258,12,25
28,157,0,15
29,91,27,9
30,121,0,12
31,71,14,7
32,68,0,6
33,141,0,14
34,499,0,49
35,204,49,20
36,50,0,5
37,895,0,89
38,106,0,10
39,231,0,23
40,86,0,8
41,132,0,13
42,177,0,17
43,180,23,18
44,405,0,40
45,69,17,6
46,633,0,63
47,75,0,7
48,179,0,17
49,120,0,12
50,364,0,36
51,181,36,18
52,362,54,36
53,80,90,8
54,50,0,5
55,53,5,5
56,65,10,6
57,78,0,7
58,428,69,42
59,53,111,5
60,73,0,7
61,65,0,6
62,338,0,33
63,321,0,32
64,50,32,5
65,537,37,53
66,244,0,24
67,77,0,7
68,156,0,15
69,57,0,5
70,75,5,7
71,367,0,36
72,286,36,28
73,453,36,45
74,84,36,8
75,256,0,25
76,75,5,7
77,53,5,5
78,161,0,16
79,71,116,7
80,59,0,5
81,122,0,12
82,450,0,45
83,269,45,26
84,191,55,19
85,452,0,45
86,143,0,14
87,100,53,10
88,127,63,12
89,88,0,8
90,65,0,6
91,102,0,10
92,85,10,8
93,551,0,55
94,354,7,35
95,51,7,5
96,554,7,55
97,137,0,13
98,53,13,5
99,55,13,5
100,51,13,5
101,188,18,18
102,330,36,33
103,76,25,7
104,520,0,52
105,50,47,5
106,286,0,28
107,134,0,13
108,138,37,13
109,52,50,5
110,74,75,7
111,64,59,6
112,73,0,7
113,216,0,21
114,53,12,5
115,135,17,13
116,134,0,13
117,66,13,6
118,52,38,5
119,182,43,18
120,1141,61,114
121,85,175,8
122,96,0,9
123,50,54,5
124,54,54,5
125,82,59,8
126,170,67,17
127,163,19,16
128,50,0,5
129,304,0,30
130,69,40,6
131,198,46,19
132,455,65,45
133,157,0,15
134,50,10,5
135,98,6,9
136,180,15,18
137,84,0,8
138,97,8,9
139,103,52,10
140,112,51,11
141,58,62,5
142,298,0,29
143,50,29,5
144,82,34,8
145,139,0,13
146,57,0,5
147,366,5,36
148,50,15,5
149,60,0,6
150,287,0,28
151,74,36,7
152,52,43,5
153,65,63,6
154,189,69,18
155,166,45,16
156,50,61,5
157,112,66,11
158,405,0,40
159,68,68,6
160,153,59,15
161,234,0,23
162,114,0,11
163,61,68,6
164,319,75,31
165,91,66,9
166,385,66,38
167,58,75,5
168,53,104,5
169,174,0,17
170,78,0,7
171,121,7,12
172,438,19,43
173,124,19,12
174,404,31,40
175,175,71,17
176,55,23,5
177,163,30,16
178,64,46,6
179,55,46,5
180,348,0,34
181,290,89,29
182,104,45,10
183,67,55,6
184,132,48,13
185,55,61,5
186,64,60,6
187,286,66,28
188,401,66,40
189,91,61,9
190,291,106,29
191,148,135,14
192,50,135,5
193,56,140,5
194,57,0,5
195,333,5,33
196,390,5,39
197,53,69,5
198,222,37,22
199,54,71,5
200,60,76,6
201,51,82,5
202,61,76,6
203,81,82,8
204,56,90,5
205,106,95,10
206,207,95,20
207,242,8,24
208,173,8,17
209,62,7,6
210,98,43,9
211,81,123,8
212,386,62,38
213,55,0,5
214,128,51,12
215,86,8,8
216,50,13,5
217,137,0,13
218,347,13,34
219,213,13,21
220,64,0,6
221,58,18,5
222,53,15,5
223,69,0,6
224,106,6,10
225,144,2,14
226,77,16,7
227,73,2,7
228,430,28,43
229,59,90,5
230,55,90,5
231,52,95,5
232,356,0,35
233,135,35,13
234,50,68,5
235,151,0,15
236,62,31,6
237,212,37,21
238,154,58,15
239,186,0,18
240,428,90,42
241,65,132,6
242,161,6,16
243,181,94,18
244,356,106,35
245,204,141,20
246,166,106,16
247,200,122,20
248,174,122,17
249,113,142,11
250,576,139,57
251,258,122,25
252,142,153,14
