resource_name,assignment_ids
Resource 0,136;178;7;176;101;95;129;152;174;66
Resource 1,185;122;25;168;33;114;159;63;140;187
Resource 2,180;171;141;18;143;48;27;173;2;5
Resource 3,119;60;45;76;15;102;19;160;23;4
Resource 4,62;29;51;58;87;188;49;134;67;55
Resource 5,91;117;183;165;100;127;155;164;142;77
Resource 6,184;132;36;37;105;30;64;153;9;71
Resource 7,79;146;44;21;126;41;80;31;175;1
Resource 8,120;93;92;46;56;86;167;16;39;6
Resource 9,74;98;154;57;61;83;172;42;52;69
Resource 10,179;162;133;40;169;50;34;84;158;170
Resource 11,186;88;138;35;90;72;32;148;106;65
Resource 12,177;109;85;115;135;38;166;17;137;125
Resource 13,181;145;78;124;96;99;24;75;47;144
Resource 14,22;97;111;121;12;11;182;59;82;123
Resource 15,149;112;107;94;104;89;139;10;150;28
Resource 16,0;26;14;147;157;161;113;73;110;116
Resource 17,8;53;128;130;131;81;13;68;108;118
Resource 18,54;70;156;20;163;103;3;43;189;151
