resource_name,assignment_ids
Resource 0,207;191;209;62;256;113;284;101;14;3;240;16;153;224;225;128;223;226;129;212
Resource 1,103;35;80;83;8;130;259;267;174;161;24;75;139;210;76;255;187;204;84;70
Resource 2,227;56;167;176;99;71;51;211;34;232;114;22;53;236;263;23;215;18;188;126
Resource 3,178;133;171;192;231;219;214;281;238;44;185;146;260;109;189;288;85;248;257;33
Resource 4,140;264;274;38;123;245;235;104;172;270;250;194;124;47;177;242;179;98;190
Resource 5,135;60;237;49;184;97;208;150;116;11;217;202;81;108;275;280;102;106;258
Resource 6,13;143;110;93;228;165;183;90;201;196;21;138;17;96;147;79;105;277;12
Resource 7,166;119;180;78;286;91;282;118;173;82;112;151;269;43;266;134;200;1;132
Resource 8,61;9;64;265;218;125;6;74;229;54;216;100;221;92;67;137;20;148;7
Resource 9,121;272;95;48;36;278;285;63;10;41;271;253;72;65;25;57;181;58;157
Resource 10,144;283;46;142;154;163;5;243;158;246;89;244;28;30;268;32;220;254;155
Resource 11,164;193;198;107;159;186;59;87;206;40;131;249;247;241;168;26;152;149;170
Resource 12,69;27;213;145;273;73;230;169;141;45;50;195;175;77;55;182;88;261;117
Resource 13,4;127;234;86;115;197;205;279;31;0;122;252;276;42;199;66;52;111;251
Resource 14,68;287;15;136;29;233;262;239;162;37;156;2;94;160;222;39;203;19;120
