resource_name,assignment_ids
Resource 0,88;365;271;273;330;304;203;185;27;61;161;327;112;366;320;355;425;423;26;10;351;169;204;349;254;314
Resource 1,158;312;321;179;125;331;367;36;227;48;58;278;174;343;143;345;63;152;354;414;222;334;248;72;38
Resource 2,221;247;201;49;47;211;168;5;245;346;0;392;31;94;341;153;308;200;77;78;339;116;99;302;202
Resource 3,35;306;363;309;54;323;264;130;2;307;298;193;105;184;57;337;74;25;91;173;270;167;166;66;384
Resource 4,23;155;370;140;196;206;207;318;413;420;71;147;33;422;338;37;359;150;288;372;183;342;192;390;64
Resource 5,194;256;29;11;322;97;399;305;205;289;287;368;229;310;217;276;284;301;149;75;350;79;107;419;393
Resource 6,13;128;7;70;162;119;255;249;353;24;326;87;379;424;233;76;285;257;129;361;118;103;388;121;360
Resource 7,262;403;266;415;362;216;253;191;34;55;272;239;171;383;113;51;120;154;286;182;223;215;73;187;296
Resource 8,402;220;377;418;251;409;139;412;241;198;260;294;81;246;56;135;124;96;136;358;111;86;244;380;214
Resource 9,12;197;16;62;65;240;259;123;324;376;8;406;290;268;382;267;292;408;398;146;3;159;282;95;165
Resource 10,186;98;144;391;100;243;195;59;176;52;177;115;210;299;387;356;281;396;261;293;371;280;110;44;303
Resource 11,344;68;348;263;283;42;151;84;67;6;132;300;156;189;279;145;22;397;315;21;175;45;19;381;328
Resource 12,237;325;311;208;329;69;50;28;407;404;92;32;416;89;83;373;410;17;164;188;127;333;90;228;137
Resource 13,114;219;141;180;170;316;104;417;238;212;82;122;232;172;53;275;80;4;18;369;101;181;400;291;131
Resource 14,378;336;374;277;41;258;102;352;46;218;14;93;20;106;332;421;385;230;401;335;386;269;375;40;252
Resource 15,209;148;109;163;274;235;347;43;250;199;394;411;231;142;15;364;236;242;340;213;9;319;190;30;265
Resource 16,225;134;117;295;317;313;60;395;133;357;405;178;297;160;138;108;85;1;224;389;157;234;226;126;39
