resource_name,assignment_ids
Resource 0,126;120;57;10;20;135;60;24;46
Resource 1,98;93;5;13;59;122;40;4;105
Resource 2,68;102;45;71;97;11;44;1;8
Resource 3,34;73;74;16;58;54;136;107;95
Resource 4,9;62;30;128;108;106;66;146;53
Resource 5,49;77;25;81;137;99;3;29;22
Resource 6,82;127;117;37;91;41;52;118;12
Resource 7,14;100;140;7;36;142;139;31;123
Resource 8,43;92;83;112;18;21;6;133;86
Resource 9,109;78;121;27;111;138;39;129;79
Resource 10,125;85;35;72;115;51;132;15;144
Resource 11,38;119;96;23;141;33;75;17
Resource 12,61;64;131;110;90;113;69;48
Resource 13,80;88;70;67;124;28;114;104
Resource 14,0;50;116;145;47;87;42;103
Resource 15,94;89;26;101;63;134;32;84
Resource 16,2;76;65;143;55;130;56;19
