resource_name,assignment_ids
Resource 0,224;145;275;223;10;170;274;161;97;72;195;220;151;256;2;48;245;156;53;79
Resource 1,123;179;82;45;96;168;261;184;200;55;194;20;188;119;176;83;128;239;178;28
Resource 2,142;147;67;217;126;68;238;99;36;249;12;273;130;218;62;135;136;197;228;206
Resource 3,235;43;266;264;216;92;93;190;121;39;3;106;54;174;163;181;78;16;9;33
Resource 4,141;80;209;116;263;171;87;240;44;94;162;251;155;100;191;262;211;139;101;113
Resource 5,75;160;19;225;229;13;52;138;69;66;117;173;60;189;74;246;131;154;81;133
Resource 6,259;27;234;159;204;129;260;90;7;63;137;108;231;143;51;148;73;164;56;115
Resource 7,201;26;49;59;132;95;167;41;42;102;4;255;193;23;205;57;21;202;207;227
Resource 8,77;118;172;243;71;30;153;0;175;213;24;61;40;110;64;8;88;140;76;152
Resource 9,268;186;58;237;47;11;37;127;198;125;98;6;124;215;265;258;107;253;14;232
Resource 10,89;105;122;34;25;46;242;70;212;208;104;65;219;85;29;5;247;165;180
Resource 11,226;222;187;146;267;91;214;38;192;236;31;144;86;185;244;252;22;233;103
Resource 12,210;254;199;269;111;248;177;134;271;149;157;257;166;84;1;230;221;196;203
Resource 13,158;15;112;35;270;250;241;114;17;150;109;18;32;169;182;50;120;183;272
