resource_name,assignment_ids
Resource 0,48;121;79;112;117;19;110;6;92;78;31
Resource 1,65;52;74;83;118;99;123;20;66;39
Resource 2,46;90;17;127;5;58;82;101;4;49
Resource 3,10;15;109;89;114;13;97;68;16;14
Resource 4,120;23;29;96;26;37;115;87;67;38
Resource 5,124;40;106;76;116;113;91;47;77;126
Resource 6,71;9;128;53;70;72;51;64;41;103
Resource 7,57;94;73;32;55;2;84;95;81;60
Resource 8,119;104;22;0;75;45;56;102;107;61
Resource 9,33;24;44;69;105;3;35;28;27;12
Resource 10,25;125;63;100;8;42;98;36;129;93
Resource 11,86;80;43;88;21;1;50;11;111;59
Resource 12,30;130;62;34;108;18;54;85;7;122
