resource_name,assignment_ids
Resource 0,10;127;277;139;97;125;49;145;307;87;102;136;286;119;5;282;280;23;296;100;150;1
Resource 1,258;272;26;21;304;126;8;293;160;7;77;215;250;185;301;103;98;9;59;34;152;116
Resource 2,11;31;189;295;58;179;268;270;28;133;113;22;131;283;222;190;157;206;71;104;135;285
Resource 3,271;294;72;151;20;236;246;220;56;69;30;238;169;60;234;55;247;237;184;78;45;73
Resource 4,106;241;33;267;167;110;93;195;239;289;303;111;211;204;123;79;205;259;6;209;178;46
Resource 5,83;217;170;302;96;276;193;85;181;233;164;196;221;187;16;165;183;141;266;251;274;24
Resource 6,291;188;32;207;39;107;92;114;281;287;216;305;64;95;297;148;244;99;158;38;62;261
Resource 7,27;14;249;63;40;263;138;35;0;153;168;155;278;290;147;154;163;256;3;252;134;186
Resource 8,140;108;75;298;177;149;121;120;224;47;65;13;2;300;202;66;198;262;264;29;36;265
Resource 9,112;273;84;130;41;182;260;94;203;172;288;117;161;76;91;275;229;90;43;52;175;257
Resource 10,132;173;180;254;253;231;129;57;171;19;128;51;226;159;18;228;68;232;12;105;82;70
Resource 11,213;174;214;162;122;166;89;25;243;227;44;48;143;144;269;223;191;156;292;255;115;67
Resource 12,210;306;200;81;235;201;124;54;176;212;192;50;225;240;4;17;194;118;146;248;86;142
Resource 13,37;53;208;219;242;74;137;245;15;230;42;299;88;101;284;199;61;279;218;80;109;197
