resource_name,assignment_ids
Resource 0,11;82;12;1;117;76;56
Resource 1,3;95;43;68;44;30;69
Resource 2,79;27;9;48;6;23;55
Resource 3,53;38;39;86;21;101;47
Resource 4,18;85;2;13;24;63
Resource 5,77;40;25;74;61;105
Resource 6,19;7;75;67;57;72
Resource 7,35;10;8;16;112;80
Resource 8,28;116;26;58;84;98
Resource 9,65;89;73;52;111;87
Resource 10,0;29;54;106;20;31
Resource 11,94;32;104;33;50;71
Resource 12,113;14;99;92;100;15
Resource 13,41;62;96;45;109;90
Resource 14,59;88;81;97;22;70
Resource 15,91;34;17;42;4;83
Resource 16,93;102;36;5;46;78
Resource 17,108;66;60;114;37;49
Resource 18,107;103;64;110;51;115
