resource_name,assignment_ids
Resource 0,221;395;237;435;390;299;323;417;79;99;101;442;408;36;119;454;39;128;183;316;318;133;45;18;349;160;340;310
Resource 1,432;307;134;169;174;407;401;47;66;103;94;273;412;200;220;63;266;461;145;41;405;62;431;263;209;300;73;156
Resource 2,296;69;270;362;212;332;180;331;84;282;239;301;16;208;53;312;42;364;285;104;147;406;396;288;414;182;215;43
Resource 3,184;357;377;158;136;60;109;141;213;287;218;295;370;453;211;418;421;10;302;344;68;87;229;355;466;198;351;205
Resource 4,429;294;115;317;161;17;280;223;114;67;460;399;265;20;15;21;126;226;443;342;7;398;245;260;413;225;463;56
Resource 5,410;166;168;330;275;195;31;372;360;328;100;132;85;96;276;324;33;78;55;284;251;238;311;363;72;380;30;232
Resource 6,152;113;236;6;259;112;271;116;257;321;337;233;111;157;150;462;65;356;123;97;146;258;464;458;440;171;382;286
Resource 7,452;387;392;90;334;81;118;189;230;199;130;102;188;350;400;142;5;37;51;26;256;89;148;369;320;76;194;98
Resource 8,204;224;375;44;445;138;411;244;449;248;8;9;361;172;393;309;46;394;52;192;419;70;255;129;289;459;420
Resource 9,433;379;154;61;267;278;428;415;222;345;391;252;439;272;397;262;436;448;179;228;186;384;283;422;240;28;303
Resource 10,153;279;365;203;19;268;346;348;2;176;50;329;383;455;202;314;304;389;11;437;117;242;190;34;322;281;74
Resource 11,110;425;23;25;120;178;185;0;173;137;306;105;338;293;254;250;336;247;434;163;108;343;446;91;447;191;131
Resource 12,426;165;367;456;12;359;305;140;249;88;162;378;75;35;368;366;327;71;14;315;404;135;59;402;143;24;144
Resource 13,424;352;374;219;386;149;313;298;416;441;444;457;197;170;358;3;92;235;4;1;274;326;214;48;106;231;32
Resource 14,177;29;206;335;403;83;291;49;371;95;124;93;193;227;107;465;80;423;261;292;269;217;241;290;376;167;341
Resource 15,385;353;277;207;234;40;127;253;54;381;196;57;297;438;333;122;27;181;210;86;159;164;187;339;58;319;354
Resource 16,325;347;64;151;121;373;427;409;450;308;243;139;246;175;264;451;77;38;430;22;155;125;201;216;82;388;13
