resource_name,assignment_ids
Resource 0,96;298;295;215;65;39;93;313;246;249;131;226;85;351;138;349;178;167;121;223;58;204;214
Resource 1,315;32;271;171;91;141;176;127;175;278;208;173;250;202;22;288;185;194;11;233;310;309;225
Resource 2,322;189;88;46;206;187;347;50;29;201;217;199;1;161;323;170;326;318;306;137;242;296
Resource 3,164;125;36;15;336;174;154;122;241;285;287;78;48;108;116;247;35;343;308;332;107;87
Resource 4,123;135;119;6;286;7;97;59;317;212;235;54;28;98;337;281;94;71;294;162;264;103
Resource 5,300;213;236;114;181;238;229;352;21;184;159;289;307;255;186;311;133;41;339;47;120;179
Resource 6,163;61;260;3;150;151;2;345;27;117;100;73;67;301;325;348;302;299;195;143;72;20
Resource 7,49;124;305;10;330;198;18;327;9;263;144;101;37;111;331;166;183;64;4;218;62;243
Resource 8,224;191;130;76;203;282;84;25;44;79;197;77;292;56;115;297;152;231;228;95;83;232
Resource 9,272;237;63;106;147;262;324;52;126;24;153;284;42;277;57;304;280;31;17;105;216;30
Resource 10,156;82;261;8;209;291;60;45;192;328;132;80;320;222;266;334;200;340;43;55;257;205
Resource 11,210;112;227;40;180;92;259;51;219;207;248;350;268;230;160;333;81;23;149;148;139;279
Resource 12,182;155;283;99;252;303;158;329;273;34;70;312;26;338;196;89;165;251;104;69;240;258
Resource 13,341;136;353;193;220;245;265;0;319;190;110;142;157;145;274;314;276;113;168;269;129;169
Resource 14,38;109;239;221;256;321;68;172;211;90;244;86;270;316;253;66;346;293;5;275;16;14
Resource 15,146;118;53;75;140;177;267;134;13;290;254;33;234;188;102;128;12;19;335;74;344;342
