predecessor_id,successor_id,type
0,142,1
277,301,3
204,205,3
135,277,1
135,320,1
135,136,1
312,342,1
293,303,1
121,349,1
219,240,3
219,225,1
231,234,1
1,205,0
1,174,1
1,229,1
275,347,1
275,278,1
2,176,0
2,179,3
2,201,3
2,14,1
2,168,1
2,273,3
2,29,3
107,313,0
107,109,1
107,108,1
3,308,1
44,274,1
44,125,0
4,327,1
4,92,3
4,335,3
4,347,1
4,29,1
247,248,1
305,350,1
5,256,3
294,295,3
294,296,1
294,297,1
294,318,1
6,211,1
7,232,1
246,258,1
246,249,1
246,283,1
246,272,3
246,247,1
246,253,0
276,277,3
8,138,1
319,348,1
319,322,1
79,111,1
9,202,1
9,335,1
113,189,1
113,179,1
113,114,1
108,133,1
108,150,1
71,226,1
71,271,1
223,224,1
223,286,1
223,253,3
147,150,1
10,110,3
10,235,3
11,162,3
12,170,1
12,123,1
13,333,1
14,222,1
280,316,1
280,281,1
15,30,1
15,99,3
15,285,3
16,90,1
109,147,1
109,207,1
155,243,1
155,346,0
17,59,3
18,43,1
299,306,1
299,304,0
299,311,1
208,210,1
19,168,1
117,118,1
20,190,1
220,229,3
341,346,1
28,289,1
28,111,1
28,97,1
118,334,3
346,348,3
346,347,1
21,268,1
21,108,1
232,264,1
232,267,1
22,33,1
115,290,1
45,339,3
45,241,1
45,263,0
69,130,1
23,229,1
148,186,3
148,292,1
24,76,1
24,248,1
320,321,3
320,337,1
25,216,1
140,158,3
216,228,0
216,238,1
82,340,1
82,201,1
82,108,3
26,338,0
26,287,1
26,282,1
26,268,1
26,82,1
27,176,1
27,28,1
27,38,1
285,289,1
285,327,3
50,249,1
30,163,1
30,239,1
30,125,3
31,303,1
290,339,1
181,182,1
181,223,1
181,187,1
185,186,1
185,301,3
149,271,1
149,304,3
240,241,0
143,224,1
143,145,3
143,185,1
227,228,1
32,189,1
32,99,1
32,215,1
195,274,1
195,202,1
195,199,1
316,317,1
316,331,1
33,173,3
33,238,1
34,255,3
35,258,1
35,126,1
221,309,1
126,352,3
36,240,1
36,286,1
36,37,3
191,192,1
342,343,1
198,201,1
198,199,1
103,118,1
37,128,1
37,291,1
314,316,3
314,315,3
38,72,1
38,54,1
39,161,1
40,71,1
40,317,1
40,268,1
41,235,1
41,214,1
41,101,1
237,345,1
237,268,3
237,238,1
42,189,1
42,187,1
42,62,1
42,245,1
43,46,1
43,45,0
43,101,1
43,44,1
43,270,3
47,247,1
321,324,1
48,183,1
48,163,1
48,285,3
250,279,1
348,350,1
300,301,1
233,329,1
114,232,0
114,187,1
114,115,1
114,251,1
166,172,1
166,337,1
49,149,0
49,201,1
49,199,1
49,50,3
51,87,3
51,351,1
131,144,3
131,163,0
116,117,1
116,157,3
116,120,1
270,271,0
329,330,1
329,331,1
52,176,3
52,203,1
52,245,1
53,172,1
53,136,1
53,181,3
53,102,3
302,303,1
234,235,3
55,198,3
55,65,1
55,88,1
265,266,1
56,327,1
57,179,1
196,197,1
196,200,1
196,206,3
58,99,1
59,88,1
59,278,0
59,60,1
307,308,1
61,230,1
210,329,1
210,211,1
62,321,1
62,308,1
222,223,1
304,313,1
304,305,1
