resource_name,assignment_ids
Resource 0,45;142;58;63;152;71;115;14;29;65
Resource 1,12;57;123;88;0;51;97;79;98;137
Resource 2,52;154;153;1;32;48;24;120;125;49
Resource 3,22;11;18;156;46;66;102;140;81;132
Resource 4,159;150;74;111;5;104;138;59;76;82
Resource 5,103;131;99;122;100;143;141;106;28;148
Resource 6,73;116;43;109;42;90;4;101;44;119
Resource 7,130;38;21;151;23;94;144;19;56;41
Resource 8,85;68;128;62;87;47;77;13;64;136
Resource 9,20;129;110;121;72;25;39;26;34;36
Resource 10,70;126;67;135;7;107;92;40;134;83
Resource 11,108;37;112;55;84;8;157;54;149;114
Resource 12,158;80;78;60;147;69;2;17;91;61
Resource 13,15;93;27;35;96;113;53;75;31;30
Resource 14,118;155;139;105;124;3;33;117;145;6
Resource 15,50;89;86;10;16;127;95;146;9;133
