resource_name,assignment_ids
Resource 0,195;158;198;75;39;90;225;210;250;175;169;34;89;224;73;42;157;236;172;206;3;77;94;98;159
Resource 1,113;205;180;126;84;222;131;251;53;15;150;197;21;87;171;19;211;166;29;241;267;156;190;16;239
Resource 2,82;203;194;63;145;235;153;110;118;45;109;59;48;0;214;31;128;124;220;2;256;101;257;187;76
Resource 3,221;217;160;202;67;248;258;71;69;80;112;30;20;196;184;174;137;134;43;7;57;193;185;273;147
Resource 4,60;108;70;179;223;215;269;74;115;151;148;111;274;204;40;164;178;252;66;27;86;125;103;55;192
Resource 5,5;26;17;212;249;96;72;140;121;38;270;253;99;88;219;123;64;155;95;227;262;186;100;132;135
Resource 6,213;139;181;36;107;207;117;259;35;122;28;130;92;23;208;200;173;119;237;106;13;255;41;264;32
Resource 7,62;129;199;47;188;46;161;234;216;116;170;44;226;9;37;143;163;56;189;245;238;232;61;154;102
Resource 8,177;85;240;261;78;50;83;127;52;14;33;260;271;231;49;146;79;149;18;218;266;24;141;68;228
Resource 9,120;65;51;254;162;176;246;209;244;268;182;191;233;8;91;93;152;242;272;136;138;25;201;168;58
Resource 10,97;11;114;144;4;104;105;81;1;142;54;243;6;263;167;230;165;183;247;229;12;10;22;133;265
