predecessor_id,successor_id,type
68,70,1
68,71,1
0,56,1
98,99,1
88,89,1
88,95,3
53,77,1
1,4,3
1,34,1
51,59,1
2,65,1
3,72,1
6,96,1
28,78,1
28,72,1
7,93,1
78,80,0
78,79,1
72,83,1
72,73,1
42,43,1
93,94,1
92,93,1
8,22,1
9,34,0
80,81,1
10,62,3
11,58,1
11,33,1
59,60,1
59,77,1
61,62,1
12,95,1
13,93,1
73,75,1
73,98,3
49,99,1
14,18,1
60,96,1
60,63,1
60,61,1
15,16,1
15,86,1
91,92,1
17,90,1
18,39,1
19,88,3
20,45,1
21,46,1
67,68,0
67,69,1
48,49,1
48,55,1
48,93,3
48,66,1
48,84,3
25,85,1
25,26,1
23,42,1
24,25,1
27,28,3
36,69,0
36,46,1
29,96,3
97,98,0
35,36,1
35,96,0
30,48,1
31,32,1
33,35,1
33,34,1
37,53,1
38,39,1
38,48,1
38,40,1
58,59,3
71,74,0
71,72,3
41,42,0
41,79,3
41,46,1
82,83,1
44,89,1
45,46,1
47,48,1
50,51,1
52,53,1
54,87,1
57,58,0
64,65,0
66,67,1
66,76,3
77,78,1
77,82,1
84,89,1
86,95,1
87,88,1
90,91,1
96,97,1
