id,hours,start,duration
0,195,0,19
1,201,0,20
2,178,0,17
3,92,0,9
4,64,0,6
5,96,0,9
6,312,0,31
7,61,0,6
8,65,0,6
9,95,0,9
10,61,0,6
11,71,0,7
12,175,0,17
13,54,0,5
14,313,0,31
15,90,0,9
16,100,9,10
17,332,0,33
18,50,31,5
19,231,0,23
20,111,0,11
21,752,0,75
22,72,6,7
23,211,0,21
24,803,0,80
25,50,80,5
26,573,85,57
27,80,0,8
28,50,0,5
29,1143,0,114
30,52,0,5
31,114,0,11
32,192,11,19
33,150,7,15
34,288,22,28
35,123,22,12
36,263,34,26
37,225,0,22
38,74,0,7
39,113,36,11
40,272,7,27
41,50,0,5
42,175,21,17
43,81,38,8
44,59,0,5
45,71,11,7
46,137,75,13
47,147,0,14
48,131,14,13
49,145,27,14
50,196,0,19
51,90,19,9
52,61,0,6
53,372,22,37
54,93,0,9
55,629,27,62
56,139,19,13
57,104,0,10
58,106,7,10
59,705,28,70
60,202,98,20
61,230,118,23
62,51,141,5
63,109,118,10
64,137,0,13
65,61,17,6
66,160,27,16
67,286,43,28
68,109,61,10
69,246,71,24
70,80,71,8
71,78,71,7
72,148,71,14
73,84,85,8
74,588,20,58
75,414,93,41
76,101,27,10
77,128,98,12
78,50,110,5
79,103,115,10
80,78,108,7
81,50,115,5
82,455,110,45
83,509,155,50
84,50,14,5
85,191,85,19
86,78,9,7
87,175,9,17
88,63,26,6
89,314,32,31
90,201,33,20
91,97,53,9
92,128,62,12
93,51,74,5
94,59,79,5
95,61,26,6
96,905,118,90
97,177,208,17
98,517,174,51
99,246,225,24
