resource_name,assignment_ids
Resource 0,197;94;104;264;216;257;73;100;127;5;135;166;65;22;52;255;141;142;55
Resource 1,122;234;54;64;109;172;250;15;4;190;92;133;218;120;108;224;238;31
Resource 2,243;265;18;260;185;244;196;107;116;53;233;155;178;261;134;12;240;27
Resource 3,49;119;184;179;56;111;44;10;160;126;231;198;46;28;180;34;183;200
Resource 4,1;270;232;168;48;14;223;72;246;202;101;77;82;23;239;19;137;125
Resource 5,194;229;3;71;247;13;222;203;75;63;0;235;132;32;241;50;156;26
Resource 6,118;25;191;88;266;208;121;114;209;136;45;86;66;41;253;70;170;205
Resource 7,57;89;163;167;129;186;95;189;51;263;147;130;139;90;195;199;124;61
Resource 8,8;17;192;47;150;188;80;201;83;213;153;175;36;143;146;97;210;113
Resource 9,91;254;206;33;187;212;176;221;21;154;96;102;93;258;226;37;76;217
Resource 10,105;42;67;219;148;267;242;84;248;87;144;16;193;112;20;98;43;173
Resource 11,128;256;106;103;181;207;237;164;59;252;9;74;249;215;2;230;78;245
Resource 12,159;161;140;40;262;177;138;165;99;268;145;79;227;251;228;182;60;11
Resource 13,152;214;7;123;204;115;158;6;35;259;30;171;29;174;110;69;162;157
Resource 14,211;149;24;81;131;38;169;62;58;151;269;220;68;39;236;225;117;85
