resource_name,assignment_ids
Resource 0,448;103;477;368;90;397;239;253;457;423;235;241;134;392;394;68;13;48;28;378;375;303;67;295;451;384;279;305;261;127;97;117;130;79;153;227;92;212;209;466;344;196;160;374
Resource 1,265;421;406;6;364;346;39;409;230;462;269;78;191;46;369;473;328;395;280;63;206;186;135;424;69;53;341;297;300;398;445;59;2;256;131;331;7;367;267;418;254;138;339;174
Resource 2,180;70;164;35;151;248;258;467;275;61;91;290;104;404;231;3;118;274;47;345;476;470;139;30;116;307;219;452;162;381;443;435;263;193;434;14;187;112;333;21;277;426;161;352
Resource 3,236;223;185;354;15;291;376;348;26;325;44;350;66;36;420;474;122;199;203;77;377;173;289;293;93;247;224;449;456;257;17;335;359;51;238;170;120;383;259;382;281;324;228;401
Resource 4,436;52;94;299;288;55;169;356;412;208;72;183;71;158;1;463;425;332;242;101;402;282;31;124;446;202;74;286;363;85;292;438;336;317;89;330;188;309;308;119;54;217;244;393
Resource 5,171;9;214;272;326;129;215;314;88;86;294;255;318;100;365;16;304;312;246;355;84;29;268;210;166;479;408;141;189;471;229;311;245;165;306;109;225;357;168;469;83;270;233;298
Resource 6,178;128;266;273;380;216;284;152;465;366;167;49;126;175;243;388;34;416;349;32;429;146;221;444;454;338;415;147;285;442;81;433;205;22;411;417;315;121;50;192;458;65;372;403
Resource 7,4;296;64;137;343;455;447;379;200;60;58;283;385;207;427;143;351;450;302;422;232;358;42;441;276;237;347;149;24;148;201;198;57;62;197;440;252;428;12;472;399;157;184
Resource 8,301;11;319;111;136;37;0;73;115;110;310;40;45;18;327;177;98;373;75;204;25;132;410;337;414;353;99;105;179;264;19;222;220;176;396;195;362;172;20;41;140;87;125
Resource 9,154;475;190;38;211;82;453;251;387;249;419;113;107;156;218;271;33;430;360;316;407;142;386;400;334;320;468;8;163;371;391;56;460;234;240;461;182;194;27;278;437;321;43
Resource 10,155;108;114;439;478;459;323;464;361;106;213;150;10;313;159;413;123;342;390;329;80;23;145;432;340;181;322;96;262;431;389;133;287;102;5;226;405;370;76;95;250;260;144
