resource_name,assignment_ids
Resource 0,108;37;69;86;129;149;46;111;11;228;57;230;105;5;71;223;241;68;61;147;133;222;124
Resource 1,171;30;0;19;28;62;130;198;217;59;75;106;208;22;103;153;63;54;178;123;179;131
Resource 2,192;135;175;140;20;190;231;138;56;172;112;195;221;91;99;119;164;183;87;166;70;3
Resource 3,169;55;93;58;47;224;40;122;118;78;79;156;136;43;72;89;216;67;180;117;239;25
Resource 4,215;9;38;139;148;155;16;29;210;97;81;184;114;34;219;226;92;236;36;173;174;161
Resource 5,212;214;51;168;65;1;200;18;177;83;60;52;44;157;187;33;32;185;197;235;128;237
Resource 6,206;66;115;2;225;144;84;77;186;233;82;96;24;199;143;26;142;207;176;90;4;113
Resource 7,74;50;23;209;137;201;126;85;12;240;39;134;88;14;35;167;7;154;218;170;160;141
Resource 8,73;15;110;116;150;202;49;109;159;101;193;102;205;104;181;145;127;100;191;42;31;188
Resource 9,120;48;76;41;10;151;53;13;211;242;196;182;238;229;121;64;27;45;98;165;125;21
Resource 10,146;232;6;234;158;194;80;163;152;107;189;203;220;162;95;213;94;227;204;132;8;17
