resource_name,assignment_ids
Resource 0,206;302;316;252;295;208;181;238;401;263;273;212;364;324;100;213;275;158;383;0;23;97;33;242;337;318;341;321;68;214;71;178;268;2;398
Resource 1,130;116;133;9;36;132;26;155;385;111;298;367;52;239;49;290;259;336;170;135;13;276;279;354;67;188;166;175;394;81;27;20;327;182;112
Resource 2,379;261;345;21;299;334;370;148;306;304;110;165;240;69;229;39;228;104;55;392;320;274;201;412;413;371;347;73;231;292;323;185;342;99;79
Resource 3,405;372;142;308;196;163;151;286;346;326;365;358;209;403;350;389;319;127;357;344;78;6;161;260;105;101;14;265;146;355;314;340;119;128;167
Resource 4,272;190;197;391;296;186;202;118;338;164;287;376;266;399;8;333;192;123;217;307;246;48;309;390;106;374;51;248;64;19;249;98;222;75;378
Resource 5,193;176;380;84;117;183;5;395;221;200;397;407;343;125;216;38;329;194;199;236;187;93;3;47;180;386;114;289;171;411;58;282;356;74;88
Resource 6,257;219;262;234;267;160;140;168;352;92;335;95;115;109;388;17;70;377;72;218;141;400;325;60;366;281;305;35;205;368;285;382;96;153;226
Resource 7,147;317;91;83;300;243;322;82;62;332;129;103;294;203;169;177;152;172;15;339;80;34;174;269;253;40;311;207;297;225;353;232;230;11;173
Resource 8,162;387;134;191;139;369;157;284;54;43;57;251;348;46;270;359;293;278;195;363;360;53;32;301;65;136;184;402;149;25;362;179;404;211;361
Resource 9,138;154;16;220;85;131;156;59;408;30;144;86;18;42;224;29;396;250;303;22;215;126;50;41;264;235;247;291;1;107;351;143;288;414
Resource 10,244;124;280;122;315;210;256;233;137;87;89;108;102;331;198;159;90;24;415;113;384;31;237;310;245;277;61;255;416;37;204;12;223;312
Resource 11,94;283;330;349;375;313;56;393;76;373;4;271;258;381;121;150;406;45;44;66;254;227;410;10;7;120;409;328;241;63;28;77;189;145
