resource_name,assignment_ids
Resource 0,287;316;95;158;187;255;131;108;53;140;313;213;218;124;38;315;146;188;272
Resource 1,63;133;212;73;175;29;219;153;269;144;245;22;52;278;85;8;12;103;33
Resource 2,49;114;231;136;17;204;94;182;183;301;299;32;74;81;249;1;40;196;322
Resource 3,200;6;0;80;248;125;317;91;143;84;229;223;292;169;76;261;120;14;262
Resource 4,107;123;305;18;220;234;312;280;5;70;189;15;160;177;135;176;224;320;193
Resource 5,202;238;251;35;145;235;72;87;296;215;93;172;168;31;161;62;206;306;290
Resource 6,222;111;258;170;173;130;65;96;147;181;117;276;164;211;190;82;51;308;20
Resource 7,310;250;109;244;30;105;36;275;309;4;283;90;23;99;319;186;253;185;150
Resource 8,203;240;208;302;237;156;246;288;274;228;284;142;115;247;210;295;184;217;61
Resource 9,157;128;297;293;263;43;47;132;271;151;42;75;265;98;239;321;64;57;149
Resource 10,318;113;154;97;268;216;137;179;281;279;286;242;227;58;83;68;266;24;194
Resource 11,307;46;300;259;141;178;3;195;199;207;148;48;267;254;126;166;119;139;56
Resource 12,304;298;122;264;66;129;167;121;79;9;198;2;214;270;311;314;163;88;291
Resource 13,28;77;34;201;205;236;55;27;13;118;303;138;45;285;86;37;102;174;60
Resource 14,92;11;294;241;192;21;89;69;41;171;243;226;209;127;180;78;19;273;101
Resource 15,110;71;112;159;260;230;225;67;16;197;26;10;104;277;252;44;221;25;54
Resource 16,39;59;282;257;134;165;162;191;256;100;7;106;232;289;116;152;50;233;155
