resource_name,assignment_ids
Resource 0,16;82;118;3;77;56;10;38
Resource 1,64;63;34;128;29;32;71;79
Resource 2,7;45;111;72;60;11;65;48
Resource 3,78;123;105;19;96;99;1;15
Resource 4,84;41;69;76;94;74;51
Resource 5,108;44;30;121;106;92;46
Resource 6,49;42;70;115;26;112;120
Resource 7,2;61;109;20;12;17;21
Resource 8,90;40;14;93;101;103;86
Resource 9,73;98;35;52;27;33;116
Resource 10,28;59;5;24;31;125;62
Resource 11,8;117;23;0;47;89;54
Resource 12,36;83;91;126;58;119;113
Resource 13,107;67;43;75;39;68;97
Resource 14,9;37;4;25;66;81;18
Resource 15,87;55;100;104;85;102;6
Resource 16,95;124;114;110;50;127;122
Resource 17,22;13;129;80;57;88;53
