predecessor_id,successor_id,type
220,221,1
0,218,1
1,126,3
1,178,1
1,157,1
2,58,1
2,218,1
3,181,1
3,11,1
3,225,3
3,135,1
4,61,1
250,251,1
231,237,0
116,121,1
116,118,0
5,165,1
152,265,1
131,257,1
251,257,1
140,142,1
243,258,1
6,230,1
6,194,0
6,245,1
6,164,1
105,106,1
105,107,3
208,265,3
155,257,3
155,156,1
190,200,3
162,163,1
162,237,0
94,255,3
175,228,3
175,177,1
192,194,1
192,193,3
229,235,1
210,217,1
210,211,1
232,237,1
7,58,1
8,100,1
193,255,1
9,196,1
10,49,1
10,36,1
202,250,1
12,63,1
12,19,1
13,79,3
13,165,1
230,231,1
230,232,1
194,253,1
244,248,3
22,179,1
132,252,3
132,179,0
52,236,3
14,89,1
117,264,3
23,57,1
23,228,0
23,221,3
23,176,1
23,185,1
23,80,1
177,214,1
57,197,1
110,246,1
110,213,3
110,151,0
205,206,1
15,168,3
15,78,1
15,23,1
16,101,1
221,227,1
17,153,0
71,79,1
71,75,1
71,72,3
18,184,3
18,106,1
19,248,0
141,232,1
26,125,3
20,158,3
222,223,1
130,131,3
130,133,1
130,132,0
130,136,1
60,250,1
21,55,3
21,218,1
21,160,3
21,24,1
21,22,1
21,23,0
263,266,3
124,184,1
124,134,1
264,265,1
214,215,1
25,30,1
25,26,1
25,36,3
151,153,1
151,152,1
195,197,1
27,209,3
27,164,3
28,88,1
28,80,1
28,169,1
28,160,0
252,253,1
167,168,1
167,219,1
167,207,1
63,66,1
29,113,1
29,56,1
29,203,3
211,213,1
163,164,1
68,77,1
30,144,1
30,93,1
30,68,0
30,65,1
30,149,1
30,117,1
189,206,1
189,190,1
189,232,1
226,227,1
53,69,1
102,103,1
102,113,1
54,61,3
64,65,1
31,125,0
31,58,1
31,85,3
32,116,1
146,147,1
146,148,1
203,206,1
99,145,3
36,37,1
126,137,3
126,128,1
126,127,1
76,165,1
76,209,3
76,191,1
148,198,0
148,149,3
72,83,1
72,74,1
72,73,1
72,137,3
212,231,3
104,138,3
104,166,1
104,105,0
118,123,0
118,158,1
33,137,1
33,218,1
33,164,1
74,188,1
74,109,1
196,214,1
196,198,1
196,199,1
45,124,1
45,128,1
93,95,1
93,120,1
93,182,0
93,96,1
93,94,1
160,171,3
119,213,3
242,245,0
242,247,1
242,244,1
242,243,1
242,246,0
88,174,0
88,108,1
65,78,0
185,188,1
75,76,1
75,100,1
89,90,1
34,55,3
34,63,1
261,264,1
261,262,0
261,263,3
261,267,1
35,36,0
35,78,1
35,218,1
90,125,0
81,190,0
81,172,1
81,117,1
173,230,1
173,236,1
186,235,1
186,187,1
249,252,1
249,250,1
249,255,1
91,97,1
91,112,1
191,196,3
191,261,1
191,195,0
191,192,1
122,135,1
178,183,3
178,179,3
178,180,3
178,212,1
66,69,3
106,213,3
106,188,1
156,264,1
156,223,3
156,157,1
156,227,1
107,109,1
107,108,1
103,104,1
103,210,3
103,115,0
38,62,3
38,67,1
38,91,3
39,264,1
198,251,1
92,93,3
92,100,3
92,260,3
40,73,3
40,143,1
40,163,0
40,177,0
180,181,1
180,224,3
248,254,3
248,256,1
248,249,1
41,114,1
41,103,1
125,126,1
125,129,1
121,122,3
121,241,1
121,182,3
199,222,1
199,212,3
149,205,1
161,162,1
161,215,3
42,58,1
182,217,1
137,242,3
137,180,0
137,185,1
137,144,1
43,146,1
43,253,0
43,135,1
96,138,1
96,109,1
67,68,1
67,100,1
69,70,1
69,82,1
129,130,1
129,154,1
129,167,1
98,114,1
98,260,3
98,115,3
98,99,0
98,177,1
168,230,1
168,169,1
44,129,3
44,45,1
44,99,3
255,258,3
101,148,3
101,102,1
109,110,3
109,111,1
109,195,1
109,204,1
46,174,0
46,153,1
138,180,1
47,65,1
70,71,1
70,177,0
97,107,0
97,98,1
153,155,1
133,198,1
133,139,3
133,248,1
113,114,1
113,162,1
113,219,1
48,179,0
48,112,3
233,234,1
85,200,1
85,86,1
85,258,1
123,125,3
123,124,1
49,76,0
49,68,1
49,87,1
234,238,1
183,217,1
183,207,1
50,53,1
50,54,1
50,52,1
50,51,1
50,174,3
134,135,3
77,264,1
86,114,3
86,153,1
136,138,1
136,178,1
136,137,3
139,141,1
139,143,1
139,140,1
139,159,1
80,81,1
55,106,1
55,239,1
56,57,3
56,190,1
56,154,1
58,213,1
58,68,3
58,153,0
58,239,1
58,148,3
154,213,1
154,155,1
78,131,1
78,223,1
218,242,1
171,173,1
171,172,3
79,254,1
79,80,1
59,168,0
59,176,0
59,60,3
59,82,1
59,77,1
170,171,1
100,101,0
100,112,1
150,151,1
150,154,1
115,119,1
115,116,1
115,120,0
115,166,0
115,117,0
239,254,3
239,251,1
145,204,1
145,146,1
145,150,1
219,220,1
219,222,3
219,228,1
235,236,0
188,189,1
188,201,3
188,191,3
188,248,1
241,242,1
224,226,1
224,225,1
159,160,1
159,170,3
159,227,1
159,161,1
159,165,1
166,167,3
166,170,1
166,188,1
174,178,0
174,176,3
174,175,1
174,182,0
61,63,1
61,62,1
61,64,1
61,67,1
258,259,1
201,203,0
201,202,1
201,205,1
201,225,1
213,254,3
213,214,1
213,216,1
213,237,1
83,240,1
83,85,1
83,84,1
217,219,1
217,218,3
217,224,1
184,186,3
184,185,1
204,205,1
228,229,0
228,230,1
228,233,1
87,88,1
87,92,1
87,89,1
87,91,1
207,208,1
207,232,1
238,265,1
238,239,1
209,210,1
209,212,1
240,241,0
260,261,1
