resource_name,assignment_ids
Resource 0,467;191;456;448;349;353;109;425;206;104;308;304;71;10;410;177;275;114;424;195;282;201;246;101;339;249;250;17;53;33;9;165;225;41;60
Resource 1,209;111;193;247;393;23;338;66;239;123;63;59;461;319;146;5;359;394;379;274;292;143;42;185;242;245;420;132;463;220;437;426;445;432;368
Resource 2,398;200;475;186;164;458;381;374;43;69;122;216;11;257;228;413;118;106;26;309;61;321;133;29;4;360;167;45;348;472;187;161;334;323;199
Resource 3,166;320;73;354;451;248;421;18;117;433;14;107;288;170;27;56;0;322;205;188;418;55;479;57;429;46;284;457;88;87;325;89;251;412;152
Resource 4,281;358;332;21;116;453;34;99;285;446;35;316;416;419;404;74;229;301;95;269;243;473;430;336;276;219;454;86;49;105;163;212;142;207
Resource 5,65;80;302;277;293;477;131;380;289;255;378;455;444;351;469;390;438;144;150;366;335;231;423;244;465;328;256;97;190;50;182;234;371;155
Resource 6,324;383;392;441;372;48;52;102;153;121;411;376;270;452;171;414;175;435;357;306;365;300;478;260;318;317;222;259;67;307;449;39;7;385
Resource 7,24;227;278;217;12;460;94;31;194;179;459;202;422;401;168;313;417;408;221;77;315;76;311;174;93;36;108;159;237;181;75;136;341;213
Resource 8,333;329;266;183;233;436;314;236;141;291;263;272;346;110;327;352;347;400;79;470;158;464;262;196;384;466;406;439;405;20;203;169;1;290
Resource 9,129;230;58;396;391;130;268;377;112;30;160;138;113;299;192;312;476;273;462;92;330;326;204;343;386;178;434;363;156;120;115;442;450;215
Resource 10,238;355;474;287;100;297;271;409;2;173;162;19;208;54;15;72;211;180;350;235;91;375;264;395;305;22;47;68;340;172;83;387;258;402
Resource 11,265;471;82;157;223;397;147;382;253;128;356;280;431;214;70;8;127;6;210;62;85;267;98;84;388;51;224;198;184;294;427;254;399;25
Resource 12,240;151;345;373;81;119;189;279;176;3;440;125;361;90;362;13;32;295;40;44;303;447;310;103;226;241;261;403;139;407;296;126;415;428
Resource 13,232;252;331;96;337;28;78;134;154;342;370;38;389;286;124;364;137;298;367;218;468;135;149;64;344;140;369;145;37;443;197;16;283;148
