resource_name,assignment_ids
Resource 0,97;96;8;16;73;104;44
Resource 1,5;100;52;57;42;80;51
Resource 2,90;87;13;93;41;75;21
Resource 3,77;103;4;43;15;35;40
Resource 4,53;20;76;29;69;6;99
Resource 5,22;33;32;34;47;92;98
Resource 6,71;70;0;19;82;31;18
Resource 7,60;79;83;50;58;28;101
Resource 8,91;36;23;2;88;66;7
Resource 9,45;67;94;10;27;38;62
Resource 10,63;37;74;48;14;85;39
Resource 11,95;68;49;64;12;65;26
Resource 12,30;54;17;25;86;89;56
Resource 13,84;72;59;81;61;46;24
Resource 14,78;55;11;1;9;102;3
