resource_name,assignment_ids
Resource 0,14;54;20;91;135;22;169;2;126;101;53;75;41;71
Resource 1,162;51;123;55;63;146;144;84;86;13;87;138;163;114
Resource 2,104;10;153;165;61;4;62;151;137;142;136;21;157
Resource 3,49;70;6;89;29;42;117;32;167;72;50;96;118
Resource 4,25;95;113;127;58;108;26;147;170;56;119;98;43
Resource 5,65;74;94;45;52;168;122;97;31;44;77;24;82
Resource 6,116;8;36;23;141;111;158;38;9;15;34;83;35
Resource 7,80;90;164;47;130;160;133;120;28;121;19;156;48
Resource 8,115;60;150;102;149;154;93;66;132;125;139;18;27
Resource 9,68;145;7;3;103;148;88;92;81;64;85;100;110
Resource 10,109;106;159;40;128;39;11;67;99;79;112;16;1
Resource 11,134;78;37;30;73;129;12;0;131;57;76;140;143
Resource 12,107;155;59;105;124;152;46;69;5;17;166;161;33
