id,hours,start,duration
0,59,0,5
1,121,0,12
2,546,0,54
3,134,0,13
4,77,0,7
5,168,0,16
6,279,0,27
7,110,0,11
8,122,0,12
9,57,0,5
10,138,0,13
11,102,0,10
12,60,0,6
13,50,0,5
14,75,0,7
15,114,0,11
16,65,0,6
17,98,0,9
18,483,0,48
19,53,0,5
20,350,0,35
21,491,0,49
22,52,49,5
23,764,0,76
24,189,49,18
25,468,0,46
26,64,0,6
27,575,0,57
28,100,0,10
29,106,0,10
30,79,0,7
31,50,0,5
32,82,5,8
33,301,0,30
34,323,54,32
35,74,0,7
36,183,0,18
37,126,0,12
38,239,0,23
39,74,0,7
40,430,0,43
41,59,0,5
42,736,0,73
43,90,0,9
44,1532,0,153
45,52,0,5
46,102,0,10
47,62,0,6
48,145,16,14
49,58,0,5
50,256,0,25
51,52,0,5
52,56,7,5
53,233,0,23
54,51,0,5
55,317,0,31
56,83,31,8
57,50,0,5
58,101,5,10
59,62,5,6
60,83,5,8
61,56,0,5
62,215,0,21
63,714,0,71
64,52,7,5
65,87,4,8
66,446,0,44
67,362,0,36
68,63,71,6
69,59,0,5
70,104,0,10
71,88,0,8
72,110,31,11
73,112,0,11
74,133,0,13
75,53,0,5
76,161,5,16
77,57,4,5
78,104,9,10
79,79,18,7
80,63,25,6
81,69,19,6
82,166,39,16
83,201,39,20
84,69,59,6
85,348,59,34
86,290,55,29
87,191,73,19
88,150,0,15
89,427,0,42
90,692,25,69
91,50,0,5
92,316,0,31
93,50,0,5
94,132,5,13
95,256,12,25
96,86,0,8
97,328,0,32
98,217,32,21
99,74,76,7
100,625,22,62
101,133,71,13
102,58,0,5
103,88,49,8
104,128,0,12
105,76,12,7
106,141,12,14
107,164,16,16
108,231,26,23
109,75,84,7
110,112,5,11
111,104,16,10
112,104,18,10
113,83,0,8
114,52,0,5
115,66,13,6
116,131,57,13
117,330,12,33
118,216,0,21
119,88,21,8
120,80,29,8
121,58,21,5
122,71,21,7
123,165,0,16
124,77,84,7
125,103,91,10
126,78,0,7
127,79,16,7
128,63,12,6
129,164,12,16
130,628,0,62
131,342,23,34
132,57,18,5
133,152,84,15
134,328,67,32
135,138,0,13
136,345,55,34
137,53,30,5
138,198,35,19
139,53,55,5
140,51,73,5
141,150,78,15
142,259,93,25
143,50,118,5
144,63,118,6
145,50,118,5
146,128,123,12
147,54,0,5
148,376,76,37
149,113,57,11
150,129,113,12
151,333,92,33
152,770,125,77
153,52,125,5
154,216,92,21
155,159,130,15
156,150,5,15
157,89,20,8
158,91,86,9
159,217,95,21
160,50,59,5
161,181,64,18
162,198,113,19
163,280,67,28
164,97,86,9
165,91,82,9
166,55,91,5
167,313,91,31
168,101,81,10
169,64,82,6
170,61,122,6
171,292,128,29
172,223,91,22
173,59,82,5
174,312,101,31
175,51,87,5
176,77,82,7
177,470,31,47
178,396,0,39
179,79,39,7
180,989,39,98
181,253,0,25
182,50,71,5
183,53,0,5
184,133,5,13
185,603,113,60
186,55,0,5
187,191,91,19
188,214,110,21
189,51,131,5
190,260,145,26
191,609,171,60
192,135,171,13
193,174,171,17
194,107,184,10
195,312,12,31
196,236,99,23
197,332,122,33
198,389,86,38
199,64,128,6
200,52,124,5
201,162,124,16
202,149,96,14
203,134,110,13
204,71,96,7
205,368,103,36
206,529,103,52
207,83,103,8
208,317,103,31
209,130,103,13
210,147,110,14
211,359,82,35
212,50,84,5
213,1048,89,104
214,144,193,14
215,271,89,27
216,66,116,6
217,175,122,17
218,365,116,36
219,190,152,19
220,224,152,22
221,117,174,11
222,391,146,39
223,265,188,26
224,90,123,9
225,111,174,11
226,185,185,18
227,593,185,59
228,53,203,5
229,87,194,8
230,54,89,5
231,50,94,5
232,477,193,47
233,66,240,6
234,50,193,5
235,398,198,39
236,281,198,28
237,56,193,5
238,272,202,27
239,149,185,14
240,56,94,5
241,267,73,26
242,414,144,41
243,92,99,9
244,152,108,15
245,234,132,23
246,50,155,5
247,313,155,31
248,99,186,9
249,101,155,10
250,86,178,8
251,78,103,7
252,58,185,5
253,387,190,38
254,613,190,61
255,89,116,8
256,106,124,10
257,96,124,9
258,51,240,5
259,51,245,5
260,179,240,17
261,53,240,5
262,94,257,9
263,156,0,15
264,150,78,15
265,249,145,24
266,61,117,6
267,56,190,5
268,125,190,12
269,85,195,8
270,514,207,51
271,358,92,35
272,57,127,5
273,248,132,24
274,645,156,64
275,575,5,57
276,152,62,15
277,51,113,5
278,138,5,13
279,418,18,41
280,103,18,10
281,163,28,16
282,114,99,11
283,78,127,7
284,56,110,5
285,123,115,12
286,52,115,5
287,123,108,12
288,58,120,5
289,1181,2,118
290,237,178,23
291,181,178,18
292,56,201,5
293,539,115,53
294,152,240,15
295,50,115,5
296,478,178,47
297,697,194,69
298,524,263,52
299,121,315,12
300,351,207,35
301,87,207,8
302,65,115,6
303,215,121,21
304,209,165,20
305,296,171,29
306,600,173,60
307,276,173,27
308,216,200,21
309,74,200,7
310,86,200,8
311,82,238,8
312,144,62,14
313,832,121,83
314,50,130,5
315,61,204,6
316,438,204,43
317,52,184,5
318,166,189,16
319,137,189,13
320,56,110,5
321,102,115,10
322,325,125,32
323,68,120,6
324,52,126,5
325,60,131,6
326,69,125,6
327,59,208,5
328,198,126,19
329,176,245,17
330,93,120,9
331,331,173,33
332,82,206,8
333,95,214,9
334,54,214,5
335,130,219,13
336,389,263,38
337,801,263,80
338,187,343,18
339,380,361,38
340,250,399,25
341,486,301,48
342,243,349,24
343,200,301,20
344,671,349,67
345,50,373,5
346,55,378,5
347,170,378,17
348,268,378,26
349,142,373,14
350,54,301,5
351,64,349,6
352,191,301,19
353,206,320,20
354,53,340,5
355,311,309,31
356,56,309,5
357,838,340,83
358,71,314,7
359,520,340,52
360,90,340,9
361,448,309,44
362,298,392,29
363,89,423,8
364,50,431,5
365,90,309,9
366,70,318,7
367,573,318,57
368,198,325,19
369,50,325,5
370,50,349,5
371,110,340,11
372,91,351,9
373,98,340,9
374,50,344,5
375,54,344,5
376,860,421,86
377,168,340,16
378,178,340,17
379,75,357,7
380,264,364,26
381,93,357,9
382,136,320,13
383,50,333,5
384,58,351,5
385,294,356,29
386,53,399,5
387,61,356,6
388,151,347,15
389,245,387,24
390,603,411,60
391,78,355,7
392,65,362,6
393,84,362,8
394,223,370,22
395,90,351,9
396,126,360,12
397,270,372,27
398,81,399,8
399,131,349,13
400,1334,362,133
401,125,383,12
402,364,395,36
403,253,395,25
404,73,495,7
405,50,349,5
406,182,18,18
407,129,133,12
