resource_name,assignment_ids
Resource 0,29;67;166;148;34;154;63;42;146;98;138;149;72;24;141;40;45;161
Resource 1,95;62;83;116;117;92;108;28;51;163;33;61;27;32;119;60;109;50
Resource 2,46;70;91;147;153;93;158;173;174;113;44;35;5;87;3;162;25;15
Resource 3,78;81;77;17;48;168;160;155;86;101;69;165;156;30;64;96;76;99
Resource 4,55;114;150;13;37;139;135;47;20;26;59;19;159;167;164;8;121;172
Resource 5,110;22;68;21;57;134;144;73;115;9;137;53;129;2;145;0;171
Resource 6,82;43;65;120;132;66;136;126;112;1;49;106;74;130;124;104;122
Resource 7,94;18;39;52;169;143;56;16;80;10;14;12;118;125;84;23;103
Resource 8,7;4;140;85;100;88;170;102;127;131;97;133;90;107;111;54;79
Resource 9,105;38;6;89;36;152;11;41;128;142;157;151;71;123;31;75;58
