resource_name,assignment_ids
Resource 0,49;67;127;87;41;99;15;19;152
Resource 1,77;6;118;4;98;46;74;50;115
Resource 2,47;59;147;110;117;66;23;138;30
Resource 3,106;36;70;62;76;113;56;134;26
Resource 4,96;1;143;123;137;121;126;63;132
Resource 5,97;142;53;153;148;116;5;103;75
Resource 6,65;11;13;10;83;141;135;81;122
Resource 7,155;60;33;24;84;145;124;149;86
Resource 8,144;90;0;48;78;17;22;68;85
Resource 9,140;44;119;55;3;102;32;139;111
Resource 10,93;131;27;2;100;72;61;28;8
Resource 11,95;64;158;133;18;38;151;16;73
Resource 12,9;54;129;128;136;146;12;109;150
Resource 13,20;39;40;88;71;107;25;37;42
Resource 14,92;34;101;45;108;114;91;159;156
Resource 15,29;43;157;35;52;130;112;82;154
Resource 16,94;57;125;80;104;79;14;58
Resource 17,89;69;31;105;21;7;120;51
