resource_name,assignment_ids
Resource 0,80;94;62;49;115;107;2;53;160;226;79;237;90;257;75;290;262;258;15;282;170;270;57;129;125
Resource 1,26;13;202;97;212;30;263;274;309;95;249;108;301;96;214;42;88;0;255;246;89;98;228;9;134
Resource 2,133;31;24;298;223;299;44;194;59;173;114;56;128;25;50;82;29;123;217;215;8;166;110;220;153
Resource 3,266;145;297;252;174;158;206;136;216;229;177;58;239;141;240;276;289;219;182;67;18;210;197;200;39
Resource 4,261;48;99;313;199;38;46;204;156;83;20;234;254;207;16;176;189;71;248;171;22;5;41;6;159
Resource 5,162;11;209;40;319;231;242;224;205;180;64;74;102;291;196;288;267;21;232;269;66;272;100;86;275
Resource 6,292;120;87;279;132;140;17;93;281;7;167;4;271;55;118;172;51;47;193;185;183;308;138;192;113
Resource 7,221;278;126;77;23;65;35;184;12;84;277;45;154;251;244;111;303;316;165;169;283;161;256;241;250
Resource 8,260;3;201;315;121;60;27;213;144;317;264;310;28;106;52;122;302;139;148;54;318;32;116;178
Resource 9,247;81;157;103;227;61;230;78;296;72;280;119;259;314;43;70;293;198;146;135;203;175;306;147
Resource 10,14;130;131;101;105;265;294;19;142;307;286;69;137;238;304;311;285;143;208;63;312;124;10;187
Resource 11,76;85;179;181;218;305;152;34;73;268;186;164;195;245;1;168;151;295;222;163;36;235;91;104
Resource 12,117;112;211;236;190;127;150;253;149;33;273;243;155;68;284;188;109;300;287;225;92;233;191;37
