resource_name,assignment_ids
Resource 0,314;167;272;80;52;285;76;210;349;227;53;61;315;154;117;333;312;249;335;129;283;21;204;202;319;263;73
Resource 1,102;148;369;252;266;309;307;273;256;303;127;221;96;388;141;43;264;305;92;242;162;132;379;158;209;214;347
Resource 2,387;323;147;179;128;26;193;257;224;181;294;371;393;287;112;93;108;328;318;184;131;267;74;10;220;7;12
Resource 3,97;276;22;346;354;113;381;35;51;38;190;150;368;67;81;106;391;114;109;324;255;237;251;79;168;376;88
Resource 4,208;169;153;278;254;172;392;222;229;280;5;295;364;164;389;235;359;45;41;60;325;269;70;322;19;174
Resource 5,348;83;386;240;299;175;133;115;37;66;236;95;293;239;246;89;360;15;261;183;199;219;292;205;270;233
Resource 6,197;157;144;355;65;178;34;56;30;6;86;1;182;159;238;177;341;274;218;329;311;244;161;176;118;343
Resource 7,9;130;104;373;84;308;63;351;383;137;298;344;275;321;253;146;46;77;203;363;4;90;250;160;353;337
Resource 8,196;151;357;332;378;163;28;290;171;265;42;268;201;91;226;103;0;189;377;206;57;16;99;143;286;140
Resource 9,260;75;82;296;155;356;142;32;85;49;116;259;145;231;232;304;320;165;24;11;301;3;338;170;58;20
Resource 10,390;216;358;47;72;310;217;23;327;55;2;139;33;243;234;36;44;330;352;279;326;121;136;361;258;152
Resource 11,345;191;69;13;138;185;316;17;101;339;262;302;111;125;207;225;313;40;211;375;291;336;87;68;367;29
Resource 12,188;241;14;62;340;31;212;200;78;27;195;342;107;288;228;350;223;198;245;289;385;281;192;230;105;110
Resource 13,362;384;8;50;331;370;120;149;186;365;156;25;248;317;277;173;297;48;18;64;94;282;380;366;300;126
Resource 14,119;123;213;122;124;334;98;194;134;284;306;271;100;39;54;166;215;59;180;247;382;187;71;135;372;374
