resource_name,assignment_ids
Resource 0,176;245;425;66;181;135;256;143;229;219;303;198;436;24;372;164;210;96;284;30;385;381;407;351;167;168
Resource 1,50;187;451;99;109;174;368;313;213;84;321;61;157;57;257;320;153;160;353;180;154;226;274;349;277;45
Resource 2,308;246;74;113;60;35;26;12;194;312;449;133;162;258;85;261;146;223;31;270;405;291;367;185;119
Resource 3,63;371;77;92;243;443;379;147;378;336;278;71;389;114;345;148;416;409;412;398;410;399;415;134;250
Resource 4,105;268;400;89;202;52;95;44;53;338;151;222;81;334;231;347;306;83;0;343;86;145;80;8;450
Resource 5,173;201;390;403;358;54;112;441;236;17;183;56;104;271;352;234;73;207;445;38;87;72;356;249;170
Resource 6,323;332;225;317;376;200;126;302;289;364;13;388;447;359;122;299;383;346;230;15;136;324;79;51;424
Resource 7,287;156;238;19;115;439;304;189;139;41;150;431;397;216;46;295;199;132;218;363;111;121;305;242;100
Resource 8,16;446;402;448;265;22;301;241;440;420;429;152;366;422;285;65;59;273;3;342;18;330;281;214;311
Resource 9,166;193;129;369;25;292;319;433;329;360;165;339;333;262;247;10;11;204;240;172;47;288;196;117;211
Resource 10,266;377;4;233;423;64;195;331;69;70;392;318;93;220;76;67;375;298;130;264;102;37;32;90;7
Resource 11,310;28;1;296;414;413;227;232;149;116;144;269;283;82;387;203;101;120;419;328;118;127;418;316;357
Resource 12,434;137;107;248;43;350;394;365;108;212;263;23;97;255;49;138;161;58;406;34;253;2;428;188;382
Resource 13,344;430;42;159;335;386;182;276;62;171;88;408;279;68;190;252;314;293;209;426;123;348;94;417;239
Resource 14,327;340;393;411;29;380;78;294;280;215;175;341;91;315;442;354;125;140;208;110;290;184;20;75;438
Resource 15,142;197;260;39;106;48;432;421;103;235;437;275;192;6;98;141;259;395;158;155;404;21;309;191;307
Resource 16,297;206;272;325;169;186;221;391;337;355;435;224;36;373;55;237;361;251;370;9;27;326;217;300;205
Resource 17,33;282;384;178;177;5;267;128;228;444;179;401;131;244;286;163;14;427;124;254;396;374;40;322;362
