resource_name,assignment_ids
Resource 0,162;51;215;348;173;22;381;227;203;10;139;174;196;4;121;358;94;372;294;191;126;91
Resource 1,237;76;114;337;128;75;166;107;299;99;330;210;142;253;186;385;319;397;6;125;391;13
Resource 2,310;321;158;65;235;219;374;394;86;167;239;80;263;272;152;103;159;332;9;349;12;402
Resource 3,26;207;199;265;260;63;291;352;5;388;308;316;163;400;143;175;233;225;271;241;15;369
Resource 4,27;259;153;66;303;262;117;290;258;148;161;39;327;58;296;55;194;350;7;168;100;269
Resource 5,72;254;160;320;37;282;335;362;377;384;189;354;268;280;341;276;250;20;389;67;255
Resource 6,105;267;338;74;257;331;301;297;202;147;29;1;314;116;38;336;399;131;165;21;217
Resource 7,344;326;223;130;68;383;44;279;363;89;151;353;188;25;304;52;118;229;300;355;14
Resource 8,313;357;293;50;361;307;214;378;343;220;200;36;154;98;102;261;146;333;246;309;57
Resource 9,129;8;171;23;187;386;234;366;360;212;45;315;325;119;274;213;311;97;28;379;256
Resource 10,16;179;295;243;122;149;205;140;144;185;209;403;393;396;318;141;78;104;0;133;367
Resource 11,43;82;201;286;373;275;324;238;110;101;48;113;252;137;245;62;273;221;285;71;83
Resource 12,204;224;184;322;180;288;242;387;364;49;69;222;248;231;2;42;53;135;106;368;195
Resource 13,317;40;96;380;236;19;176;77;192;90;11;232;359;365;249;84;61;155;392;302;198
Resource 14,172;108;81;226;244;95;134;218;124;342;298;306;31;281;59;197;266;56;240;305;33
Resource 15,70;93;390;347;85;334;46;123;251;183;120;35;277;228;278;54;328;177;247;206;375
Resource 16,283;127;138;208;64;150;32;164;169;182;339;376;24;92;289;181;401;287;211;111;216
Resource 17,157;156;41;395;340;30;270;17;371;18;346;3;79;112;382;170;292;73;345;264;230
Resource 18,193;178;109;60;132;329;284;115;370;398;190;88;136;356;47;323;312;87;145;34;351
