resource_name,assignment_ids
Resource 0,79;40;134;190;76;165;85;153;100;114;35
Resource 1,63;125;124;135;0;175;185;183;6;131;181
Resource 2,140;172;7;106;68;23;86;141;99;161;57
Resource 3,107;152;122;192;70;162;17;160;136;101;45
Resource 4,20;113;130;133;34;142;16;178;82;90;69
Resource 5,145;26;87;31;116;143;52;154;166;67;109
Resource 6,14;33;88;43;139;119;3;51;8;156
Resource 7,104;169;93;41;138;164;38;193;97;53
Resource 8,37;25;155;146;58;19;22;94;55;177
Resource 9,144;28;84;27;150;77;78;127;157;71
Resource 10,10;74;176;89;180;132;47;48;83;65
Resource 11,21;148;159;56;195;117;189;151;59;182
Resource 12,11;42;36;126;73;186;96;105;49;184
Resource 13,115;103;123;13;179;163;158;32;66;187
Resource 14,188;91;5;102;128;24;50;30;81;118
Resource 15,95;72;167;61;170;75;129;60;194;149
Resource 16,39;1;80;121;54;110;46;120;15;173
Resource 17,92;18;111;64;108;44;2;171;191;147
Resource 18,98;137;29;4;62;112;174;168;12;9
