resource_name,assignment_ids
Resource 0,136;66;76;24;63;135;204;185;146;100;0;235;47;181;56
Resource 1,143;69;184;208;45;90;140;7;196;120;233;98;28;202;99
Resource 2,127;112;40;95;176;12;193;41;83;102;96;192;37;51;27
Resource 3,211;170;70;128;38;223;53;49;16;26;154;145;200;121;238
Resource 4,198;209;9;239;3;157;174;79;177;13;151;119;39;35
Resource 5,75;92;103;149;236;229;60;132;117;163;178;172;58;231
Resource 6,122;72;144;18;33;199;183;188;5;134;191;94;1;65
Resource 7,187;64;31;194;156;180;82;190;215;219;217;109;141;147
Resource 8,54;226;213;214;20;133;80;175;205;166;88;36;125;201
Resource 9,4;150;197;131;44;162;203;32;61;105;73;227;118;104
Resource 10,169;207;62;107;10;167;195;115;30;218;137;114;50;186
Resource 11,43;97;224;14;182;23;2;17;89;101;111;77;158;113
Resource 12,126;19;86;22;68;225;59;93;124;78;159;142;153;42
Resource 13,25;152;171;237;8;6;74;228;222;241;52;11;148;138
Resource 14,85;67;29;232;168;110;164;221;87;220;210;46;129;216
Resource 15,15;155;48;106;139;206;116;165;189;34;21;173;91;234
Resource 16,130;84;230;212;160;57;123;108;71;240;161;179;55;81
