resource_name,assignment_ids
Resource 0,168;349;166;310;0;70;375;143;237;99;260;239;242;320;284;155;274;372;186;339;128;357;352
Resource 1,218;46;29;125;57;213;163;255;220;42;152;271;101;280;113;68;317;116;94;370;316;371;171
Resource 2,359;36;204;9;374;307;178;135;270;43;61;296;265;236;313;100;47;142;123;133;287;198;223
Resource 3,314;122;369;286;384;188;233;2;176;212;298;346;145;353;258;18;361;4;245;328;333;54;389
Resource 4,362;363;189;169;207;303;132;80;86;322;335;93;309;148;249;360;146;121;111;227;52;364;64
Resource 5,291;153;38;194;180;63;98;382;16;118;96;315;342;343;138;50;139;383;134;288;344;244;120
Resource 6,79;295;385;59;51;66;323;8;27;49;41;91;380;104;84;167;243;312;179;253;151;293;292
Resource 7,368;78;102;92;241;73;205;82;376;259;136;126;256;175;234;160;235;379;130;351;308;31;174
Resource 8,217;201;358;341;74;34;24;272;108;377;306;203;246;277;77;185;262;11;261;268;338;347;119
Resource 9,165;231;158;367;230;177;355;106;88;356;263;81;131;278;348;276;330;12;15;209;89;103;45
Resource 10,190;60;10;240;388;127;214;30;140;76;224;305;5;226;3;141;67;181;202;95;248;229;154
Resource 11,69;117;329;279;48;7;266;150;107;210;90;97;55;252;319;110;390;20;221;13;366;187;216
Resource 12,17;197;387;228;192;14;350;232;162;33;294;124;238;193;129;170;337;290;32;25;267;65;157
Resource 13,215;269;144;225;72;40;325;137;285;83;6;340;200;275;39;58;75;326;301;196;208;85;37
Resource 14,264;336;184;257;311;324;283;114;282;381;327;331;302;26;247;281;273;44;149;156;321;161;23
Resource 15,199;112;147;159;53;173;28;22;251;386;164;254;19;56;219;250;183;191;289;378;109;105;211
Resource 16,332;206;62;373;297;354;345;299;115;172;318;365;35;182;222;87;71;195;300;334;1;21;304
