resource_name,assignment_ids
Resource 0,104;172;174;285;97;220;48;2;73;167;109;43;208;55;211;111;87
Resource 1,255;204;288;91;280;163;21;276;265;252;171;9;1;175;241;114;70
Resource 2,56;74;143;248;191;225;72;239;76;27;153;247;267;245;64;133;139
Resource 3,170;5;262;206;240;94;295;192;40;100;126;181;147;61;271;158;41
Resource 4,179;234;205;290;154;135;249;229;235;102;233;88;218;24;260;274;101
Resource 5,180;275;228;77;183;178;140;32;142;66;217;15;294;118;250;216;113
Resource 6,254;223;253;213;83;159;108;282;52;75;283;51;116;258;224;119;209
Resource 7,0;173;59;63;33;257;190;176;214;193;231;160;263;222;3;146;50
Resource 8,207;197;96;117;130;277;19;132;226;149;13;169;106;156;30;31;22
Resource 9,81;196;201;112;35;287;264;89;37;286;237;60;23;14;251;166;261
Resource 10,98;210;232;152;85;82;266;203;293;79;184;34;138;145;244;122;136
Resource 11,157;120;17;58;278;162;93;272;194;148;236;80;4;84;78;187
Resource 12,127;242;134;49;45;188;18;246;129;115;256;103;161;124;65;121
Resource 13,284;25;20;269;28;7;128;189;185;26;296;298;182;38;6;259
Resource 14,57;297;200;221;268;291;125;292;62;44;90;289;177;39;155;270
Resource 15,186;227;164;151;107;12;46;141;215;198;86;54;202;68;144;279
Resource 16,16;47;8;29;42;165;230;92;69;11;95;10;123;243;150;99
Resource 17,281;137;238;110;199;219;212;71;131;195;273;168;36;105;67;53
