resource_name,assignment_ids
Resource 0,58;189;430;290;451;148;419;66;447;238;96;439;235;191;115;184;82;429;109;197;136;407;268;385;254;450;150;219;244;8;279
Resource 1,372;53;170;360;38;267;25;106;435;217;61;261;365;308;24;223;95;75;276;306;326;274;369;80;48;113;23;39;205;416;342
Resource 2,272;177;195;70;270;140;98;102;431;225;454;350;15;330;248;122;250;347;344;378;114;144;426;81;31;169;78;63;154;45;126
Resource 3,3;263;256;161;159;336;171;418;28;94;10;108;178;190;11;375;218;104;387;17;433;333;227;119;208;202;414;245;319;181;180
Resource 4,107;335;413;9;187;90;221;406;57;162;275;420;415;441;432;343;163;97;160;436;133;29;412;383;41;293;49;125;60;443;405
Resource 5,99;193;73;354;5;239;51;373;356;297;212;315;64;299;362;386;260;204;44;55;103;237;320;230;0;234;321;398;198;452;259
Resource 6,278;440;138;404;397;179;371;332;341;434;349;329;266;100;201;128;137;345;295;20;110;93;91;74;377;151;216;210;242;50
Resource 7,153;166;384;291;147;84;352;14;1;253;52;155;207;340;366;322;428;310;298;334;249;353;228;423;69;312;277;183;331;286
Resource 8,130;149;231;139;85;252;211;325;168;314;424;224;400;289;401;88;390;18;92;172;220;79;175;213;145;152;83;36;199;307
Resource 9,305;135;303;453;348;143;222;164;323;346;258;146;196;62;351;394;156;374;318;67;13;6;292;185;129;194;262;338;370;285
Resource 10,89;455;324;396;247;391;47;182;33;399;367;35;86;411;174;105;240;446;21;229;131;233;173;444;111;402;280;236;392;46
Resource 11,27;72;42;76;409;241;339;288;363;165;134;313;281;327;364;265;328;186;358;264;282;445;316;408;167;257;382;112;437;355
Resource 12,16;421;87;206;232;448;132;26;123;301;361;59;56;2;32;271;54;381;294;357;449;176;68;203;403;214;200;124;296;117
Resource 13,255;40;215;188;388;410;317;192;311;359;422;34;77;438;209;304;393;379;30;284;71;142;376;120;157;300;395;158;287;417
Resource 14,302;19;269;127;7;368;12;425;246;118;4;283;273;380;442;22;141;65;116;43;101;251;226;121;37;389;309;243;337;427
