resource_name,assignment_ids
Resource 0,189;254;81;391;214;393;366;79;417;80;378;383;377;284;298;17;102;365;463;111;454;337;439;27;395;4;26;459;423;72;228;18
Resource 1,331;264;123;11;371;132;353;323;13;37;181;0;384;418;61;224;59;241;159;320;317;374;382;283;437;75;33;215;15;153;260
Resource 2,115;55;160;2;120;411;54;137;446;155;243;227;388;414;360;91;135;146;221;222;409;82;329;453;182;139;101;97;48;24;109
Resource 3,184;312;205;412;325;183;68;422;270;294;401;319;83;100;372;316;265;49;231;218;22;462;46;141;233;394;292;305;30;420;211
Resource 4,99;346;456;435;56;154;315;138;425;262;128;47;324;89;6;431;179;12;157;149;76;288;196;333;206;361;194;36;23;39;455
Resource 5,14;237;217;285;251;167;130;64;397;126;405;367;168;175;381;354;10;277;376;304;95;1;379;403;369;443;290;70;303;116;216
Resource 6,429;248;340;258;124;44;129;192;441;34;200;188;357;349;358;58;98;447;45;396;326;392;84;282;363;448;334;50;8;171;78
Resource 7,66;406;142;343;275;273;145;173;122;5;368;180;204;144;362;256;345;449;226;451;90;296;299;240;330;244;43;212;311;207;199
Resource 8,268;232;428;108;250;461;107;202;25;21;253;193;373;113;434;281;213;321;436;339;259;51;172;249;310;355;178;114;257;20;85
Resource 9,444;408;327;410;308;166;106;16;152;163;375;280;309;112;151;140;210;385;338;266;41;458;457;203;402;94;267;118;191;450;246
Resource 10,29;87;131;104;156;342;297;271;247;127;407;165;225;150;386;57;86;433;3;400;195;28;289;53;223;351;187;252;445;370;390
Resource 11,269;110;313;419;287;38;31;413;347;220;7;307;161;314;158;352;359;336;69;134;235;415;147;300;170;350;65;332;348;421;162
Resource 12,143;356;190;242;63;416;440;276;442;164;239;278;380;88;62;263;35;42;177;71;389;174;245;201;432;52;274;96;328;197;344
Resource 13,74;73;186;198;219;9;60;176;465;293;286;460;238;185;119;261;19;230;136;32;430;234;335;279;426;125;387;438;318;105;121
Resource 14,255;236;67;295;291;301;229;399;341;427;302;398;404;208;77;424;272;117;103;93;364;40;322;209;306;92;133;148;169;464;452
