resource_name,assignment_ids
Resource 0,185;240;278;97;15;250;242;281;248;124;188;257;187;121;306;5;55;266
Resource 1,101;283;272;145;237;218;92;273;219;227;239;144;190;262;207;229;166;143
Resource 2,197;255;54;193;305;84;75;201;275;74;194;52;298;44;263;282;91;156
Resource 3,260;107;21;30;179;112;14;280;177;163;60;115;29;22;12;299;95;279
Resource 4,181;267;290;149;3;204;270;65;114;268;47;170;7;90;137;79;211
Resource 5,81;63;66;288;18;258;70;222;130;252;224;35;100;191;48;147;265
Resource 6,214;43;261;99;203;102;300;93;302;304;111;173;198;53;108;120;294
Resource 7,69;217;285;27;138;141;297;168;241;292;133;2;151;253;269;0;26
Resource 8,37;205;192;200;232;244;19;231;167;128;303;184;134;116;234;82;276
Resource 9,186;9;50;80;78;152;308;284;157;33;254;88;228;77;67;148;154
Resource 10,25;287;49;295;291;105;122;123;56;307;110;230;251;183;189;161;8
Resource 11,220;42;104;71;225;158;176;57;164;89;45;160;277;195;165;58;131
Resource 12,209;40;223;61;150;31;76;117;6;28;83;85;171;178;10;126;140
Resource 13,169;174;259;96;221;206;249;196;175;86;199;286;132;36;208;226;146
Resource 14,51;119;233;32;113;103;34;243;159;94;202;246;46;11;309;129;213
Resource 15,23;245;125;139;98;247;153;20;142;38;118;296;13;301;24;216;264
Resource 16,289;235;210;41;135;106;182;59;68;236;109;17;62;72;39;172;180
Resource 17,274;162;73;238;155;64;293;256;271;4;16;136;87;212;215;1;127
