resource_name,assignment_ids
Resource 0,61;8;70;23;25;55;52
Resource 1,68;90;12;14;1;20;59
Resource 2,77;42;50;32;57;89;43
Resource 3,30;60;86;74;46;93;99
Resource 4,87;78;53;67;26;83
Resource 5,19;9;11;15;72;34
Resource 6,84;24;47;0;28;38
Resource 7,45;96;16;63;33;40
Resource 8,69;49;54;41;31;94
Resource 9,56;64;48;92;17;10
Resource 10,18;98;91;62;36;7
Resource 11,58;22;4;2;88;3
Resource 12,75;27;29;21;66;82
Resource 13,5;85;71;73;81;80
Resource 14,13;76;37;97;79;51
Resource 15,35;39;95;6;65;44
