resource_name,assignment_ids
Resource 0,336;158;183;324;189;260;316;346;226;76;344;279;70;206;140;50;367;221;20;129;142;366;390
Resource 1,78;104;282;3;1;340;143;371;136;75;35;391;254;185;290;135;248;269;214;193;195;77
Resource 2,225;61;151;165;297;154;220;314;65;247;167;375;331;103;98;232;325;222;2;253;315;267
Resource 3,294;241;25;273;162;261;392;396;321;51;246;354;271;378;174;216;235;24;281;243;300;240
Resource 4,96;298;369;363;106;123;351;288;110;333;374;230;385;311;161;23;8;219;353;217;73;10
Resource 5,179;255;251;259;21;186;58;299;6;92;309;184;159;88;278;148;132;114;307;111;9;118
Resource 6,66;138;18;153;360;109;40;197;119;330;188;339;160;64;266;16;31;198;137;149;173;208
Resource 7,202;296;234;144;287;283;172;326;82;99;71;29;357;262;228;361;380;126;265;318;125;69
Resource 8,42;93;54;327;323;38;168;250;81;213;33;124;286;19;163;89;337;236;32;393;263;39
Resource 9,341;60;238;258;157;176;359;128;34;56;105;370;382;47;145;175;85;115;256;295;181;345
Resource 10,215;86;204;376;97;203;63;112;30;210;22;386;237;233;72;227;199;169;373;14;150;388
Resource 11,329;11;59;313;310;362;306;134;113;317;343;155;274;87;293;0;291;41;276;384;268;211
Resource 12,334;319;389;83;272;152;303;350;131;178;190;37;187;177;379;127;205;53;95;91;101;394
Resource 13,4;120;368;301;44;201;302;224;212;28;328;348;107;229;395;15;252;356;355;141;280;387
Resource 14,48;270;239;7;36;80;46;146;292;170;45;100;285;249;242;26;332;277;90;166;284;164
Resource 15,365;79;17;130;231;62;383;245;342;196;133;364;349;171;43;12;27;372;102;377;191;381
Resource 16,52;289;358;352;5;312;67;108;68;244;304;218;74;194;117;322;223;139;305;116;200;13
Resource 17,192;84;347;320;257;122;147;207;338;94;335;156;209;180;121;275;57;308;55;182;49;264
