predecessor_id,successor_id,type
9,63,1
14,16,3
14,46,1
0,19,1
1,28,1
1,10,1
23,27,1
23,26,1
20,31,1
20,38,1
2,13,0
2,43,1
34,56,1
34,60,3
44,54,1
44,45,0
3,38,1
62,63,1
4,17,3
25,28,1
16,56,0
16,39,1
5,35,1
21,53,3
29,30,0
29,66,1
36,53,3
47,52,1
59,60,1
6,24,1
6,39,1
6,46,3
6,33,1
35,36,1
35,42,3
7,13,1
18,42,3
18,49,1
26,32,1
26,58,1
26,50,1
22,23,1
22,24,1
22,39,0
22,25,3
22,36,1
61,62,1
48,51,1
48,50,1
48,49,1
8,9,1
8,55,1
8,13,1
10,38,1
10,57,1
52,53,1
52,63,1
39,40,1
41,46,1
41,56,1
28,40,1
28,37,1
28,56,1
28,29,1
28,43,1
11,12,0
31,55,0
31,33,1
57,59,0
57,58,1
13,14,0
13,15,1
32,52,1
60,61,1
42,52,0
42,60,3
46,59,1
46,48,1
46,58,1
46,47,1
33,35,1
33,49,1
33,37,1
33,34,1
38,42,1
38,39,1
38,41,3
17,18,1
43,44,1
43,64,1
43,46,1
19,22,1
19,20,1
19,21,1
55,57,1
55,56,1
65,66,1
