resource_name,assignment_ids
Resource 0,217;122;189;115;129;191;130;169;79;216;113;174
Resource 1,164;88;177;71;190;123;206;159;94;182;59;210
Resource 2,139;35;121;142;126;7;117;32;69;107;23;44
Resource 3,165;14;227;27;5;215;98;131;153;101;127;186
Resource 4,82;225;49;137;108;160;87;58;56;28;22;218
Resource 5,184;195;92;200;66;78;226;39;163;25;21;128
Resource 6,97;43;140;176;185;187;141;201;77;181;149;103
Resource 7,112;42;57;194;73;84;8;10;81;33;36;99
Resource 8,60;90;1;152;125;133;167;24;198;138;175;178
Resource 9,146;155;211;119;100;86;120;172;2;72;109;3
Resource 10,20;9;212;110;102;89;45;37;156;67;111;15
Resource 11,70;147;30;55;143;52;148;154;220;180;53;118
Resource 12,85;96;13;150;17;54;161;221;48;188;64;95
Resource 13,193;179;222;31;213;106;61;29;51;91;11;114
Resource 14,192;145;83;132;38;203;157;105;74;196;116;40
Resource 15,219;47;223;173;135;197;62;104;0;68;65;4
Resource 16,18;34;208;199;168;76;6;80;93;75;16;50
Resource 17,144;170;202;183;151;205;209;12;41;166;134;171
Resource 18,204;63;158;19;46;214;124;136;224;207;26;162
