resource_name,assignment_ids
Resource 0,96;75;32;288;186;301;153;17;211;93;151;65;209;346;338;248;235;330;114;316;310;130;138;81;43;31;202;147;132;236;161;139
Resource 1,244;238;23;39;35;150;195;314;194;200;207;308;64;50;164;101;0;225;213;287;38;271;97;285;320;298;146;305;215;326;204;37
Resource 2,94;79;229;83;67;306;159;269;136;274;309;304;335;260;157;169;334;266;60;203;54;220;293;321;231;9;148;18;322;240;286;33
Resource 3,76;303;123;331;324;257;13;88;100;307;27;187;251;218;284;47;311;21;61;182;15;333;154;105;325;319;87;133;62;7;90;302
Resource 4,42;280;63;40;192;143;145;45;22;242;166;337;172;258;91;234;216;98;11;72;233;107;28;327;224;278;317;134;95;281;142;261
Resource 5,104;198;340;275;58;68;297;29;232;80;241;255;230;34;149;156;160;167;24;14;89;290;19;277;36;189;173;252;12;249;165;51
Resource 6,6;336;77;125;300;279;129;345;223;295;103;253;259;282;155;162;178;264;73;53;205;243;127;26;25;5;212;174;122;48;49
Resource 7,214;131;179;55;124;3;1;342;245;270;188;78;227;20;66;117;181;237;267;265;8;74;44;315;119;59;219;99;246;152;86
Resource 8,183;111;191;341;126;247;197;171;329;226;196;289;108;199;135;206;110;294;343;217;268;84;176;82;170;323;177;109;180;273;137
Resource 9,276;318;92;262;52;185;128;120;210;16;312;118;228;163;144;56;344;256;283;85;222;141;299;250;221;339;70;57;313;328;41
Resource 10,272;30;193;263;2;296;71;112;184;201;102;208;190;106;291;46;69;4;239;115;121;254;10;140;116;158;292;113;175;168;332
