resource_name,assignment_ids
Resource 0,23;34;43;99;97;136;16;104;149;58;84;117;30;141
Resource 1,146;36;135;60;127;63;144;89;67;92;151;29;108;7
Resource 2,130;5;75;8;41;114;119;28;52;65;44;83;10;76
Resource 3,143;102;27;46;21;113;147;51;3;128;2;54;107;24
Resource 4,86;142;148;77;1;125;95;20;25;122;26;35;55;33
Resource 5,61;78;132;37;9;73;64;80;126;93;0;13;100;39
Resource 6,88;15;123;96;70;14;31;82;109;11;137;12;129;103
Resource 7,66;120;145;6;140;87;98;118;45;105;101;91;32;49
Resource 8,106;131;90;79;124;69;85;47;38;18;19;121;115;71
Resource 9,138;94;4;53;50;116;40;48;68;139;56;133;74
Resource 10,17;59;57;62;134;42;112;150;72;81;110;111;22
